Gene	Gene Systematic Name	Gene Ontology Term	Gene Ontology Term ID	Qualifier	Aspect	Method	Evidence	Source	Assigned On	Annotation Extension	Reference
SRP102	YKL154W	GTPase activity	GO:0003924		molecular function	manually curated	ISS with AAA35552.1	SGD	2005-01-28		Miller JD, et al. (1995) PMID:7844142
SNU114	YKL173W	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2005-05-27		Fabrizio P, et al. (1997) PMID:9233818
SNU114	YKL173W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
VPS1	YKR001C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2001-01-18		Ekena K, et al. (1993) PMID:8299420
VPS1	YKR001C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR001401, IPR003130	InterPro	2016-11-26		DDB, et al. (2001)
VPS1	YKR001C	GTPase activity	GO:0003924		molecular function	manually curated	ISS	SGD	2001-01-18		Ekena K, et al. (1993) PMID:8299420
YPT52	YKR014C	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2002-11-13		Singer-Kruger B, et al. (1994) PMID:8163546
YPT52	YKR014C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-03-24		Will E, et al. (2001) PMID:11210571
RHO4	YKR055W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-06-07		Doignon F, et al. (1999) PMID:10526184
HBS1	YKR084C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-11-29		Shoemaker CJ, et al. (2010) PMID:20947765
HBS1	YKR084C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
DNM1	YLL001W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2006-07-26		Ingerman E, et al. (2005) PMID:16186251
DNM1	YLL001W	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2016-11-17		Naylor K, et al. (2006) PMID:16272155
DNM1	YLL001W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR001401, IPR003130	InterPro	2016-11-26		DDB, et al. (2001)
MEF1	YLR069C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
MEF1	YLR069C	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2015-06-29		Gaudet P, et al (2010)
TUB4	YLR212C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR003008	InterPro	2016-11-26		DDB, et al. (2001)
CDC42	YLR229C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2009-11-13		Roumanie O, et al. (2001) PMID:11591390
GPN3	YLR243W	GTPase activity	GO:0003924		molecular function	manually curated	ISS with NPA3	SGD	2015-02-19		Minaker SW, et al. (2013) PMID:23267056
GPN3	YLR243W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2016-10-13		Gaudet P, et al (2010)
YPT6	YLR262C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-03-24		Will E, et al. (2001) PMID:11210571
GUF1	YLR289W	GTPase activity	GO:0003924		molecular function	manually curated	ISS	SGD	2002-10-07		Kiser GL and Weinert TA (1995) PMID:8553703
GUF1	YLR289W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2006-02-03		Butcher RA, et al. (2006) PMID:16415861
GUF1	YLR289W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
GSP1	YLR293C	GTPase activity	GO:0003924		molecular function	manually curated	IGI	SGD	2002-07-24		Belhumeur P, et al. (1993) PMID:8455603
GSP1	YLR293C	GTPase activity	GO:0003924		molecular function	manually curated	ISS	SGD	2002-07-24		Belhumeur P, et al. (1993) PMID:8455603
GSP1	YLR293C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR002041	InterPro	2016-11-26		DDB, et al. (2001)
YPT7	YML001W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-03-24		Will E, et al. (2001) PMID:11210571
TEM1	YML064C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2009-12-10		Geymonat M, et al. (2002) PMID:12048186
TEM1	YML064C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2015-04-08	has direct input BFA1, has direct input BUB2	Scarfone I, et al. (2015) PMID:25658911
TUB1	YML085C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR003008	InterPro	2016-11-26		DDB, et al. (2001)
GTR1	YML121W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2014-03-12		Sengottaiyan P, et al. (2012) PMID:22726655
GTR1	YML121W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2013-06-24		Panchaud N, et al. (2013) PMID:23716719
TUB3	YML124C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR003008	InterPro	2016-11-26		DDB, et al. (2001)
MSS1	YMR023C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR004520	InterPro	2016-11-26		DDB, et al. (2001)
MSS1	YMR023C	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2016-04-21		Gaudet P, et al (2010)
MTG1	YMR097C	GTPase activity	GO:0003924		molecular function	manually curated	ISA with NUG1	SGD	2009-09-21		Barrientos A, et al. (2003) PMID:12808030
MTG1	YMR097C	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2012-04-09		Gaudet P, et al (2010)
DDR48	YMR173W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2004-04-19		Sheng S and Schuster SM (1993) PMID:8444852
DML1	YMR211W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR003008	InterPro	2016-11-26		DDB, et al. (2001)
RHO2	YNL090W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2009-11-13		Roumanie O, et al. (2001) PMID:11591390
RHO2	YNL090W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-06-07		Doignon F, et al. (1999) PMID:10526184
YPT53	YNL093W	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2002-11-13		Singer-Kruger B, et al. (1994) PMID:8163546
YPT53	YNL093W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-03-24		Will E, et al. (2001) PMID:11210571
RAS2	YNL098C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2013-03-07		Wood DR, et al. (1994) PMID:8106517
RIA1	YNL163C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2004-09-29		Senger B, et al. (2001) PMID:11779510
RIA1	YNL163C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
RHO5	YNL180C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2002-06-20		Roumanie O, et al. (2001) PMID:11591390
NOG2	YNR053C	GTPase activity	GO:0003924		molecular function	manually curated	ISS with G0SBX1	SGD	2015-08-20		Matsuo Y, et al. (2014) PMID:24240281
NOG2	YNR053C	GTPase activity	GO:0003924		molecular function	manually curated	ISS with NUG1	SGD	2015-08-20		Bassler J, et al. (2001) PMID:11583615
NOG2	YNR053C	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2012-04-09		Gaudet P, et al (2010)
IFM1	YOL023W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2003-06-19		Garofalo C, et al. (2003) PMID:12729623
IFM1	YOL023W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
SKI7	YOR076C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
SKI7	YOR076C	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2015-06-29		Gaudet P, et al (2010)
VPS21	YOR089C	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2002-11-13		Singer-Kruger B, et al. (1994) PMID:8163546
VPS21	YOR089C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2010-03-24		Will E, et al. (2001) PMID:11210571
ARF3	YOR094W	GTPase activity	GO:0003924		molecular function	manually curated	ISS	SGD	2001-01-18		Lee FJ, et al. (1994) PMID:8063710
RAS1	YOR101W	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2001-01-18		Kataoka T, et al. (1984) PMID:6327067
RAS1	YOR101W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2014-03-07		Crechet JB, et al. (2003) PMID:14674766
EFT1	YOR133W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2014-05-16		Ortiz PA, et al. (2006) PMID:16950777
EFT1	YOR133W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
EFT1	YOR133W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2015-06-29		Gaudet P, et al (2010)
SEY1	YOR165W	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2009-08-19		Hu J, et al. (2009) PMID:19665976
GSP2	YOR185C	GTPase activity	GO:0003924		molecular function	manually curated	ISS	SGD	2002-07-24		Belhumeur P, et al. (1993) PMID:8455603
GSP2	YOR185C	GTPase activity	GO:0003924		molecular function	manually curated	IGI	SGD	2002-07-24		Belhumeur P, et al. (1993) PMID:8455603
GSP2	YOR185C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR002041	InterPro	2016-11-26		DDB, et al. (2001)
TUF1	YOR187W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2009-02-09		Rosenthal LP and Bodley JW (1987) PMID:3301847
TUF1	YOR187W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
GEP3	YOR205C	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2012-04-09		Gaudet P, et al (2010)
MGM1	YOR211C	GTPase activity	GO:0003924		molecular function	manually curated	ISA with DNM1	SGD	2010-12-02		Wong ED, et al. (2000) PMID:11038181
MGM1	YOR211C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR001401	InterPro	2016-11-26		DDB, et al. (2001)
MGM1	YOR211C	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2016-08-08		Gaudet P, et al (2010)
GPN2	YOR262W	GTPase activity	GO:0003924		molecular function	manually curated	ISS with NPA3	SGD	2015-02-19		Minaker SW, et al. (2013) PMID:23267056
GPN2	YOR262W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2016-10-13		Gaudet P, et al (2010)
ARL3	YPL051W	GTPase activity	GO:0003924		molecular function	manually curated	ISS	SGD	2002-05-29		Huang CF, et al. (1999) PMID:9920936
ARL3	YPL051W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2002-05-29		Huang CF, et al. (1999) PMID:9920936
BMS1	YPL217C	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2009-05-22		Karbstein K, et al. (2005) PMID:16307926
BMS1	YPL217C	GTPase activity	GO:0003924		molecular function	manually curated	IMP	SGD	2009-05-22		Karbstein K, et al. (2005) PMID:16307926
SAR1	YPL218W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2007-03-29		Barlowe C, et al. (1993) PMID:8419365
SAR1	YPL218W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2007-03-29		Saito Y, et al. (1998) PMID:9756629
TEF1	YPR080W	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR000795	InterPro	2016-11-26		DDB, et al. (2001)
TEF1	YPR080W	GTPase activity	GO:0003924		molecular function	computational	IBA	GO_Central	2015-06-29		Gaudet P, et al (2010)
SRP54	YPR088C	GTPase activity	GO:0003924		molecular function	computational	IEA with IPR022941, IPR006325	InterPro	2016-11-26		DDB, et al. (2001)
RHO1	YPR165W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2009-11-13		Roumanie O, et al. (2001) PMID:11591390
RHO1	YPR165W	GTPase activity	GO:0003924		molecular function	manually curated	IDA	SGD	2009-11-13		Peterson J, et al. (1994) PMID:7962098
