GO_Slim_term	cluster	Slim_term_counts_per_cluster	cluster_size	GO_Slim_term_count	percent_cluster	percent_slim	normalized
chromatin organization	20	3	103	318	0.029126213592233	0.00943396226415094	9.15918666422422e-05
regulation of DNA metabolic process	20	1	103	106	0.00970873786407767	0.00943396226415094	9.15918666422422e-05
tRNA processing	20	1	103	109	0.00970873786407767	0.00917431192660551	8.90709895786942e-05
regulation of protein modification process	20	1	103	110	0.00970873786407767	0.00909090909090909	8.8261253309797e-05
histone modification	20	1	103	114	0.00970873786407767	0.0087719298245614	8.51643672287515e-05
cytoskeleton organization	20	2	103	232	0.0194174757281553	0.00862068965517241	8.36960160696351e-05
regulation of organelle organization	20	2	103	239	0.0194174757281553	0.00836820083682008	8.12446683186416e-05
cellular ion homeostasis	20	1	103	125	0.00970873786407767	0.008	7.76699029126214e-05
monocarboxylic acid metabolic process	20	1	103	127	0.00970873786407767	0.0078740157480315	7.64467548352572e-05
organelle assembly	20	1	103	131	0.00970873786407767	0.00763358778625954	7.41125027792189e-05
sporulation	20	1	103	138	0.00970873786407767	0.0072463768115942	7.03531729280991e-05
meiotic cell cycle	20	2	103	287	0.0194174757281553	0.00696864111498258	6.76567098541998e-05
cellular amino acid metabolic process	20	1	103	153	0.00970873786407767	0.0065359477124183	6.34558030331874e-05
generation of precursor metabolites and energy	20	1	103	155	0.00970873786407767	0.00645161290322581	6.26370184779205e-05
mitotic cell cycle	20	2	103	328	0.0194174757281553	0.00609756097560976	5.91996211224248e-05
translational elongation	20	2	103	334	0.0194174757281553	0.00598802395209581	5.81361548747166e-05
protein modification by small protein conjugation or removal	20	1	103	170	0.00970873786407767	0.00588235294117647	5.71102227298686e-05
RNA modification	20	1	103	172	0.00970873786407767	0.00581395348837209	5.64461503725446e-05
cofactor metabolic process	20	1	103	178	0.00970873786407767	0.00561797752808989	5.45434711465038e-05
cytoplasmic translation	20	1	103	179	0.00970873786407767	0.00558659217877095	5.42387590171937e-05
DNA recombination	20	1	103	179	0.00970873786407767	0.00558659217877095	5.42387590171937e-05
protein phosphorylation	20	1	103	197	0.00970873786407767	0.0050761421319797	4.92829333201912e-05
cell wall organization or biogenesis	20	1	103	198	0.00970873786407767	0.00505050505050505	4.90340296165539e-05
chromosome segregation	20	1	103	198	0.00970873786407767	0.00505050505050505	4.90340296165539e-05
carbohydrate metabolic process	20	1	103	200	0.00970873786407767	0.005	4.85436893203884e-05
transcription from RNA polymerase II promoter	20	2	103	480	0.0194174757281553	0.00416666666666667	4.0453074433657e-05
amino acid transport	19	1	72	40	0.0138888888888889	0.025	0.000347222222222222
transcription from RNA polymerase III promoter	19	1	72	41	0.0138888888888889	0.024390243902439	0.000338753387533875
regulation of transport	19	2	72	84	0.0277777777777778	0.0238095238095238	0.000330687830687831
mitochondrion organization	19	10	72	425	0.138888888888889	0.0235294117647059	0.000326797385620915
proteolysis involved in cellular protein catabolic process	19	5	72	216	0.0694444444444444	0.0231481481481481	0.000321502057613169
DNA replication	19	3	72	139	0.0416666666666667	0.0215827338129496	0.000299760191846523
protein folding	19	2	72	95	0.0277777777777778	0.0210526315789474	0.000292397660818713
exocytosis	19	1	72	49	0.0138888888888889	0.0204081632653061	0.000283446712018141
protein dephosphorylation	19	1	72	49	0.0138888888888889	0.0204081632653061	0.000283446712018141
protein maturation	19	1	72	52	0.0138888888888889	0.0192307692307692	0.000267094017094017
response to starvation	19	1	72	56	0.0138888888888889	0.0178571428571429	0.000248015873015873
organelle inheritance	19	1	72	60	0.0138888888888889	0.0166666666666667	0.000231481481481481
protein glycosylation	19	1	72	62	0.0138888888888889	0.0161290322580645	0.000224014336917563
protein acylation	19	1	72	66	0.0138888888888889	0.0151515151515152	0.00021043771043771
lipid transport	19	1	72	68	0.0138888888888889	0.0147058823529412	0.000204248366013072
DNA-templated transcription, initiation	19	1	72	71	0.0138888888888889	0.0140845070422535	0.000195618153364632
cellular respiration	19	1	72	84	0.0138888888888889	0.0119047619047619	0.000165343915343915
response to osmotic stress	19	1	72	92	0.0138888888888889	0.0108695652173913	0.000150966183574879
DNA-templated transcription, elongation	19	1	72	96	0.0138888888888889	0.0104166666666667	0.000144675925925926
endocytosis	19	1	72	98	0.0138888888888889	0.0102040816326531	0.00014172335600907
cellular response to DNA damage stimulus	19	3	72	299	0.0416666666666667	0.0100334448160535	0.000139353400222965
endosomal transport	19	1	72	102	0.0138888888888889	0.00980392156862745	0.000136165577342048
ribosomal large subunit biogenesis	19	1	72	104	0.0138888888888889	0.00961538461538462	0.000133547008547009
regulation of DNA metabolic process	19	1	72	106	0.0138888888888889	0.00943396226415094	0.000131027253668763
tRNA processing	19	1	72	109	0.0138888888888889	0.00917431192660551	0.000127420998980632
regulation of protein modification process	19	1	72	110	0.0138888888888889	0.00909090909090909	0.000126262626262626
histone modification	19	1	72	114	0.0138888888888889	0.0087719298245614	0.000121832358674464
transmembrane transport	19	2	72	232	0.0277777777777778	0.00862068965517241	0.000119731800766284
DNA repair	19	2	72	246	0.0277777777777778	0.00813008130081301	0.000112917795844625
nucleobase-containing compound transport	19	1	72	138	0.0138888888888889	0.0072463768115942	0.000100644122383253
peptidyl-amino acid modification	19	1	72	151	0.0138888888888889	0.00662251655629139	9.19793966151582e-05
protein targeting	19	2	72	309	0.0277777777777778	0.00647249190938511	8.98957209636821e-05
generation of precursor metabolites and energy	19	1	72	155	0.0138888888888889	0.00645161290322581	8.96057347670251e-05
chromatin organization	19	2	72	318	0.0277777777777778	0.00628930817610063	8.73515024458421e-05
ion transport	19	1	72	162	0.0138888888888889	0.00617283950617284	8.57338820301783e-05
mitochondrial translation	19	1	72	167	0.0138888888888889	0.00598802395209581	8.3166999334664e-05
mRNA processing	19	1	72	170	0.0138888888888889	0.00588235294117647	8.16993464052288e-05
protein modification by small protein conjugation or removal	19	1	72	170	0.0138888888888889	0.00588235294117647	8.16993464052288e-05
RNA modification	19	1	72	172	0.0138888888888889	0.00581395348837209	8.0749354005168e-05
nuclear transport	19	1	72	176	0.0138888888888889	0.00568181818181818	7.89141414141414e-05
cofactor metabolic process	19	1	72	178	0.0138888888888889	0.00561797752808989	7.80274656679151e-05
Golgi vesicle transport	19	1	72	190	0.0138888888888889	0.00526315789473684	7.30994152046784e-05
protein phosphorylation	19	1	72	197	0.0138888888888889	0.0050761421319797	7.05019740552736e-05
carbohydrate metabolic process	19	1	72	200	0.0138888888888889	0.005	6.94444444444444e-05
regulation of cell cycle	19	1	72	213	0.0138888888888889	0.00469483568075117	6.52060511215441e-05
regulation of organelle organization	19	1	72	239	0.0138888888888889	0.00418410041841004	5.81125058112506e-05
transcription from RNA polymerase II promoter	19	2	72	480	0.0277777777777778	0.00416666666666667	5.78703703703704e-05
rRNA processing	19	1	72	311	0.0138888888888889	0.00321543408360129	4.46588067166845e-05
RNA catabolic process	18	6	74	132	0.0810810810810811	0.0454545454545455	0.000614250614250614
protein dephosphorylation	18	2	74	49	0.027027027027027	0.0408163265306122	0.000551571980143409
cell morphogenesis	18	1	74	29	0.0135135135135135	0.0344827586206897	0.000465983224603914
oligosaccharide metabolic process	18	1	74	32	0.0135135135135135	0.03125	0.000422297297297297
transcription from RNA polymerase I promoter	18	2	74	68	0.027027027027027	0.0294117647058824	0.000397456279809221
transcription from RNA polymerase III promoter	18	1	74	41	0.0135135135135135	0.024390243902439	0.0003295978905735
conjugation	18	3	74	124	0.0405405405405405	0.0241935483870968	0.000326939843068875
regulation of transport	18	2	74	84	0.027027027027027	0.0238095238095238	0.000321750321750322
snoRNA processing	18	1	74	45	0.0135135135135135	0.0222222222222222	0.0003003003003003
DNA-templated transcription, elongation	18	2	74	96	0.027027027027027	0.0208333333333333	0.000281531531531532
protein alkylation	18	1	74	50	0.0135135135135135	0.02	0.00027027027027027
response to starvation	18	1	74	56	0.0135135135135135	0.0178571428571429	0.000241312741312741
protein modification by small protein conjugation or removal	18	3	74	170	0.0405405405405405	0.0176470588235294	0.000238473767885533
invasive growth in response to glucose limitation	18	1	74	59	0.0135135135135135	0.0169491525423729	0.000229042601923958
protein glycosylation	18	1	74	62	0.0135135135135135	0.0161290322580645	0.00021795989537925
cellular ion homeostasis	18	2	74	125	0.027027027027027	0.016	0.000216216216216216
lipid transport	18	1	74	68	0.0135135135135135	0.0147058823529412	0.000198728139904611
pseudohyphal growth	18	1	74	74	0.0135135135135135	0.0135135135135135	0.000182615047479912
cytokinesis	18	1	74	88	0.0135135135135135	0.0113636363636364	0.000153562653562654
cofactor metabolic process	18	2	74	178	0.027027027027027	0.0112359550561798	0.000151837230488916
cell wall organization or biogenesis	18	2	74	198	0.027027027027027	0.0101010101010101	0.000136500136500137
carbohydrate metabolic process	18	2	74	200	0.027027027027027	0.01	0.000135135135135135
endosomal transport	18	1	74	102	0.0135135135135135	0.00980392156862745	0.000132485426603074
regulation of translation	18	1	74	105	0.0135135135135135	0.00952380952380952	0.000128700128700129
regulation of cell cycle	18	2	74	213	0.027027027027027	0.00938967136150235	0.000126887450831113
regulation of protein modification process	18	1	74	110	0.0135135135135135	0.00909090909090909	0.000122850122850123
transcription from RNA polymerase II promoter	18	4	74	480	0.0540540540540541	0.00833333333333333	0.000112612612612613
monocarboxylic acid metabolic process	18	1	74	127	0.0135135135135135	0.0078740157480315	0.000106405618216642
ribosomal small subunit biogenesis	18	1	74	135	0.0135135135135135	0.00740740740740741	0.0001001001001001
sporulation	18	1	74	138	0.0135135135135135	0.0072463768115942	9.79240109674892e-05
meiotic cell cycle	18	2	74	287	0.027027027027027	0.00696864111498258	9.41708258781429e-05
RNA splicing	18	1	74	144	0.0135135135135135	0.00694444444444444	9.38438438438438e-05
organelle fission	18	2	74	296	0.027027027027027	0.00675675675675676	9.13075237399562e-05
peptidyl-amino acid modification	18	1	74	151	0.0135135135135135	0.00662251655629139	8.94934669769107e-05
cellular amino acid metabolic process	18	1	74	153	0.0135135135135135	0.0065359477124183	8.83236177353824e-05
generation of precursor metabolites and energy	18	1	74	155	0.0135135135135135	0.00645161290322581	8.71839581517001e-05
chromatin organization	18	2	74	318	0.027027027027027	0.00628930817610063	8.49906510283869e-05
ion transport	18	1	74	162	0.0135135135135135	0.00617283950617284	8.34167500834168e-05
mitotic cell cycle	18	2	74	328	0.027027027027027	0.00609756097560976	8.23994726433751e-05
mRNA processing	18	1	74	170	0.0135135135135135	0.00588235294117647	7.94912559618442e-05
cytoplasmic translation	18	1	74	179	0.0135135135135135	0.00558659217877095	7.54944889023101e-05
DNA recombination	18	1	74	179	0.0135135135135135	0.00558659217877095	7.54944889023101e-05
protein phosphorylation	18	1	74	197	0.0135135135135135	0.0050761421319797	6.85965152970229e-05
nucleobase-containing small molecule metabolic process	18	1	74	198	0.0135135135135135	0.00505050505050505	6.82500682500683e-05
proteolysis involved in cellular protein catabolic process	18	1	74	216	0.0135135135135135	0.00462962962962963	6.25625625625626e-05
cytoskeleton organization	18	1	74	232	0.0135135135135135	0.00431034482758621	5.82479030754893e-05
regulation of organelle organization	18	1	74	239	0.0135135135135135	0.00418410041841004	5.65418975460816e-05
lipid metabolic process	18	1	74	287	0.0135135135135135	0.00348432055749129	4.70854129390715e-05
rRNA processing	18	1	74	311	0.0135135135135135	0.00321543408360129	4.34518119405579e-05
histone modification	17	17	204	114	0.0833333333333333	0.149122807017544	0.000730994152046784
protein alkylation	17	7	204	50	0.0343137254901961	0.14	0.000686274509803922
transcription from RNA polymerase I promoter	17	7	204	68	0.0343137254901961	0.102941176470588	0.000504613610149942
invasive growth in response to glucose limitation	17	5	204	59	0.0245098039215686	0.0847457627118644	0.000415420405450316
response to heat	17	6	204	71	0.0294117647058824	0.0845070422535211	0.000414250207125104
chromatin organization	17	23	204	318	0.112745098039216	0.0723270440251572	0.000354544333456653
peptidyl-amino acid modification	17	10	204	151	0.0490196078431373	0.0662251655629139	0.000324633164524088
telomere organization	17	5	204	78	0.0245098039215686	0.0641025641025641	0.000314228255404726
protein acylation	17	4	204	66	0.0196078431372549	0.0606060606060606	0.00029708853238265
regulation of DNA metabolic process	17	6	204	106	0.0294117647058824	0.0566037735849057	0.000277469478357381
transposition	17	1	204	21	0.00490196078431373	0.0476190476190476	0.000233426704014939
DNA-templated transcription, termination	17	2	204	43	0.00980392156862745	0.0465116279069767	0.000227998176014592
DNA-templated transcription, elongation	17	4	204	96	0.0196078431372549	0.0416666666666667	0.000204248366013072
regulation of protein modification process	17	4	204	110	0.0196078431372549	0.0363636363636364	0.00017825311942959
DNA replication	17	5	204	139	0.0245098039215686	0.0359712230215827	0.000176329524615602
transcription from RNA polymerase II promoter	17	16	204	480	0.0784313725490196	0.0333333333333333	0.000163398692810458
cellular amino acid metabolic process	17	5	204	153	0.0245098039215686	0.0326797385620915	0.000160194796872998
protein modification by small protein conjugation or removal	17	5	204	170	0.0245098039215686	0.0294117647058824	0.000144175317185698
pseudohyphal growth	17	2	204	74	0.00980392156862745	0.027027027027027	0.000132485426603074
meiotic cell cycle	17	7	204	287	0.0343137254901961	0.024390243902439	0.000119560019129603
regulation of cell cycle	17	5	204	213	0.0245098039215686	0.0234741784037559	0.000115069501979195
snoRNA processing	17	1	204	45	0.00490196078431373	0.0222222222222222	0.000108932461873638
response to osmotic stress	17	2	204	92	0.00980392156862745	0.0217391304347826	0.000106564364876385
DNA repair	17	5	204	246	0.0245098039215686	0.0203252032520325	9.96333492746692e-05
protein phosphorylation	17	4	204	197	0.0196078431372549	0.0203045685279188	9.95321986662685e-05
cellular response to DNA damage stimulus	17	6	204	299	0.0294117647058824	0.020066889632107	9.83671060397403e-05
response to oxidative stress	17	2	204	103	0.00980392156862745	0.0194174757281553	9.51837045497811e-05
mRNA processing	17	3	204	170	0.0147058823529412	0.0176470588235294	8.65051903114187e-05
organelle fission	17	5	204	296	0.0245098039215686	0.0168918918918919	8.2803391626921e-05
DNA recombination	17	3	204	179	0.0147058823529412	0.0167597765363128	8.21557673348669e-05
conjugation	17	2	204	124	0.00980392156862745	0.0161290322580645	7.90638836179633e-05
mitotic cell cycle	17	5	204	328	0.0245098039215686	0.0152439024390244	7.47250119560019e-05
nucleus organization	17	1	204	66	0.00490196078431373	0.0151515151515152	7.42721330956625e-05
regulation of organelle organization	17	3	204	239	0.0147058823529412	0.0125523012552301	6.153088850603e-05
regulation of transport	17	1	204	84	0.00490196078431373	0.0119047619047619	5.83566760037348e-05
carbohydrate metabolic process	17	2	204	200	0.00980392156862745	0.01	4.90196078431373e-05
regulation of translation	17	1	204	105	0.00490196078431373	0.00952380952380952	4.66853408029879e-05
cellular ion homeostasis	17	1	204	125	0.00490196078431373	0.008	3.92156862745098e-05
nucleobase-containing compound transport	17	1	204	138	0.00490196078431373	0.0072463768115942	3.55214549587951e-05
lipid metabolic process	17	2	204	287	0.00980392156862745	0.00696864111498258	3.41600054656009e-05
nuclear transport	17	1	204	176	0.00490196078431373	0.00568181818181818	2.78520499108734e-05
nucleobase-containing small molecule metabolic process	17	1	204	198	0.00490196078431373	0.00505050505050505	2.47573776985542e-05
proteolysis involved in cellular protein catabolic process	17	1	204	216	0.00490196078431373	0.00462962962962963	2.26942628903413e-05
cytoskeleton organization	17	1	204	232	0.00490196078431373	0.00431034482758621	2.11291413116971e-05
transmembrane transport	17	1	204	232	0.00490196078431373	0.00431034482758621	2.11291413116971e-05
protein targeting	17	1	204	309	0.00490196078431373	0.00323624595469256	1.58639507582968e-05
translational elongation	17	1	204	334	0.00490196078431373	0.0029940119760479	1.46765292943525e-05
mitochondrion organization	17	1	204	425	0.00490196078431373	0.00235294117647059	1.15340253748558e-05
protein glycosylation	16	8	95	62	0.0842105263157895	0.129032258064516	0.00135823429541596
protein lipidation	16	4	95	45	0.0421052631578947	0.0888888888888889	0.000935672514619883
exocytosis	16	3	95	49	0.0315789473684211	0.0612244897959184	0.000644468313641246
cell wall organization or biogenesis	16	11	95	198	0.115789473684211	0.0555555555555556	0.000584795321637427
vacuole organization	16	3	95	84	0.0315789473684211	0.0357142857142857	0.00037593984962406
cell morphogenesis	16	1	95	29	0.0105263157894737	0.0344827586206897	0.000362976406533575
organelle inheritance	16	2	95	60	0.0210526315789474	0.0333333333333333	0.000350877192982456
oligosaccharide metabolic process	16	1	95	32	0.0105263157894737	0.03125	0.000328947368421053
carbohydrate transport	16	1	95	33	0.0105263157894737	0.0303030303030303	0.000318979266347687
endosomal transport	16	3	95	102	0.0315789473684211	0.0294117647058824	0.000309597523219814
cytokinesis	16	2	95	88	0.0210526315789474	0.0227272727272727	0.000239234449760766
endocytosis	16	2	95	98	0.0210526315789474	0.0204081632653061	0.000214822771213749
protein dephosphorylation	16	1	95	49	0.0105263157894737	0.0204081632653061	0.000214822771213749
carbohydrate metabolic process	16	4	95	200	0.0421052631578947	0.02	0.000210526315789474
protein maturation	16	1	95	52	0.0105263157894737	0.0192307692307692	0.000202429149797571
cell budding	16	1	95	58	0.0105263157894737	0.0172413793103448	0.000181488203266788
cytoskeleton organization	16	4	95	232	0.0421052631578947	0.0172413793103448	0.000181488203266788
ribosome assembly	16	1	95	59	0.0105263157894737	0.0169491525423729	0.000178412132024978
translational initiation	16	1	95	61	0.0105263157894737	0.0163934426229508	0.000172562553925798
Golgi vesicle transport	16	3	95	190	0.0315789473684211	0.0157894736842105	0.000166204986149585
organelle assembly	16	2	95	131	0.0210526315789474	0.0152671755725191	0.000160707111289675
protein acylation	16	1	95	66	0.0105263157894737	0.0151515151515152	0.000159489633173844
lipid metabolic process	16	4	95	287	0.0421052631578947	0.0139372822299652	0.000146708233999633
proteolysis involved in cellular protein catabolic process	16	3	95	216	0.0315789473684211	0.0138888888888889	0.000146198830409357
pseudohyphal growth	16	1	95	74	0.0105263157894737	0.0135135135135135	0.000142247510668563
membrane fusion	16	1	95	75	0.0105263157894737	0.0133333333333333	0.000140350877192982
protein targeting	16	4	95	309	0.0421052631578947	0.0129449838187702	0.000136262987566002
vesicle organization	16	1	95	81	0.0105263157894737	0.0123456790123457	0.000129954515919428
regulation of transport	16	1	95	84	0.0105263157894737	0.0119047619047619	0.00012531328320802
organelle fusion	16	1	95	88	0.0105263157894737	0.0113636363636364	0.000119617224880383
ribosomal large subunit biogenesis	16	1	95	104	0.0105263157894737	0.00961538461538462	0.000101214574898785
regulation of organelle organization	16	2	95	239	0.0210526315789474	0.00836820083682008	8.80863245981061e-05
conjugation	16	1	95	124	0.0105263157894737	0.00806451612903226	8.48896434634975e-05
cellular ion homeostasis	16	1	95	125	0.0105263157894737	0.008	8.42105263157895e-05
RNA catabolic process	16	1	95	132	0.0105263157894737	0.00757575757575758	7.97448165869218e-05
sporulation	16	1	95	138	0.0105263157894737	0.0072463768115942	7.627765064836e-05
DNA replication	16	1	95	139	0.0105263157894737	0.00719424460431655	7.57288905717531e-05
generation of precursor metabolites and energy	16	1	95	155	0.0105263157894737	0.00645161290322581	6.7911714770798e-05
rRNA processing	16	2	95	311	0.0210526315789474	0.00643086816720257	6.76933491284481e-05
ion transport	16	1	95	162	0.0105263157894737	0.00617283950617284	6.49772579597141e-05
mitotic cell cycle	16	2	95	328	0.0210526315789474	0.00609756097560976	6.41848523748395e-05
transmembrane transport	16	1	95	232	0.0105263157894737	0.00431034482758621	4.53720508166969e-05
transcription from RNA polymerase II promoter	16	2	95	480	0.0210526315789474	0.00416666666666667	4.3859649122807e-05
meiotic cell cycle	16	1	95	287	0.0105263157894737	0.00348432055749129	3.66770584999083e-05
chromatin organization	16	1	95	318	0.0105263157894737	0.00314465408805031	3.3101621979477e-05
DNA-templated transcription, elongation	15	6	159	96	0.0377358490566038	0.0625	0.000393081761006289
chromatin organization	15	16	159	318	0.10062893081761	0.050314465408805	0.00031644317867173
DNA-templated transcription, termination	15	2	159	43	0.0125786163522013	0.0465116279069767	0.000292525961679099
chromosome segregation	15	9	159	198	0.0566037735849057	0.0454545454545455	0.00028587764436821
protein acylation	15	3	159	66	0.0188679245283019	0.0454545454545455	0.00028587764436821
histone modification	15	5	159	114	0.0314465408805031	0.043859649122807	0.000275846849828975
protein alkylation	15	2	159	50	0.0125786163522013	0.04	0.000251572327044025
organelle fission	15	10	159	296	0.0628930817610063	0.0337837837837838	0.000212476627570967
nucleus organization	15	2	159	66	0.0125786163522013	0.0303030303030303	0.000190585096245474
RNA catabolic process	15	4	159	132	0.0251572327044025	0.0303030303030303	0.000190585096245474
nucleobase-containing compound transport	15	4	159	138	0.0251572327044025	0.0289855072463768	0.000182298787713062
DNA replication	15	4	159	139	0.0251572327044025	0.0287769784172662	0.000180987285643184
regulation of DNA metabolic process	15	3	159	106	0.0188679245283019	0.0283018867924528	0.000177999288002848
regulation of cell cycle	15	6	159	213	0.0377358490566038	0.028169014084507	0.000177163610594384
mitotic cell cycle	15	9	159	328	0.0566037735849057	0.0274390243902439	0.000172572480441786
peptidyl-amino acid modification	15	4	159	151	0.0251572327044025	0.0264900662251656	0.000166604190095381
cellular respiration	15	2	159	84	0.0125786163522013	0.0238095238095238	0.000149745432764301
nuclear transport	15	4	159	176	0.0251572327044025	0.0227272727272727	0.000142938822184105
DNA recombination	15	4	159	179	0.0251572327044025	0.0223463687150838	0.000140543199465936
sporulation	15	3	159	138	0.0188679245283019	0.0217391304347826	0.000136724090784796
regulation of organelle organization	15	5	159	239	0.0314465408805031	0.0209205020920502	0.000131575484855662
DNA repair	15	5	159	246	0.0314465408805031	0.0203252032520325	0.000127831466993915
cellular response to DNA damage stimulus	15	6	159	299	0.0377358490566038	0.020066889632107	0.00012620685303212
generation of precursor metabolites and energy	15	3	159	155	0.0188679245283019	0.0193548387096774	0.000121728545343883
transcription from RNA polymerase II promoter	15	9	159	480	0.0566037735849057	0.01875	0.000117924528301887
regulation of protein modification process	15	2	159	110	0.0125786163522013	0.0181818181818182	0.000114351057747284
transcription from RNA polymerase I promoter	15	1	159	68	0.00628930817610063	0.0147058823529412	9.24898261191269e-05
DNA-templated transcription, initiation	15	1	159	71	0.00628930817610063	0.0140845070422535	8.8581805297192e-05
meiotic cell cycle	15	4	159	287	0.0251572327044025	0.0139372822299652	8.76558630815419e-05
proteolysis involved in cellular protein catabolic process	15	3	159	216	0.0188679245283019	0.0138888888888889	8.73515024458421e-05
telomere organization	15	1	159	78	0.00628930817610063	0.0128205128205128	8.06321561038542e-05
vacuole organization	15	1	159	84	0.00628930817610063	0.0119047619047619	7.48727163821503e-05
organelle fusion	15	1	159	88	0.00628930817610063	0.0113636363636364	7.14694110920526e-05
cytoskeleton organization	15	2	159	232	0.0125786163522013	0.00862068965517241	5.4218173931902e-05
conjugation	15	1	159	124	0.00628930817610063	0.00806451612903226	5.0720227226618e-05
organelle assembly	15	1	159	131	0.00628930817610063	0.00763358778625954	4.8009986077104e-05
ribosomal small subunit biogenesis	15	1	159	135	0.00628930817610063	0.00740740740740741	4.65874679711158e-05
protein targeting	15	2	159	309	0.0125786163522013	0.00647249190938511	4.0707496285441e-05
mRNA processing	15	1	159	170	0.00628930817610063	0.00588235294117647	3.69959304476508e-05
protein modification by small protein conjugation or removal	15	1	159	170	0.00628930817610063	0.00588235294117647	3.69959304476508e-05
cofactor metabolic process	15	1	159	178	0.00628930817610063	0.00561797752808989	3.53331920005653e-05
protein phosphorylation	15	1	159	197	0.00628930817610063	0.0050761421319797	3.19254222137088e-05
nucleobase-containing small molecule metabolic process	15	1	159	198	0.00628930817610063	0.00505050505050505	3.17641827075789e-05
carbohydrate metabolic process	15	1	159	200	0.00628930817610063	0.005	3.14465408805031e-05
mitochondrion organization	15	2	159	425	0.0125786163522013	0.00470588235294118	2.95967443581206e-05
cytokinesis	14	7	92	88	0.0760869565217391	0.0795454545454545	0.000864624505928854
endocytosis	14	6	92	98	0.0652173913043478	0.0612244897959184	0.000665483584738243
exocytosis	14	3	92	49	0.0326086956521739	0.0612244897959184	0.000665483584738243
cell budding	14	3	92	58	0.0326086956521739	0.0517241379310345	0.000562218890554723
cytoskeleton organization	14	12	92	232	0.130434782608696	0.0517241379310345	0.000562218890554723
response to osmotic stress	14	4	92	92	0.0434782608695652	0.0434782608695652	0.000472589792060492
cell morphogenesis	14	1	92	29	0.0108695652173913	0.0344827586206897	0.000374812593703148
regulation of organelle organization	14	7	92	239	0.0760869565217391	0.0292887029288703	0.000318355466618155
cell wall organization or biogenesis	14	5	92	198	0.0543478260869565	0.0252525252525253	0.000274483970136144
protein maturation	14	1	92	52	0.0108695652173913	0.0192307692307692	0.000209030100334448
response to starvation	14	1	92	56	0.0108695652173913	0.0178571428571429	0.000194099378881988
conjugation	14	2	92	124	0.0217391304347826	0.0161290322580645	0.00017531556802244
protein glycosylation	14	1	92	62	0.0108695652173913	0.0161290322580645	0.00017531556802244
Golgi vesicle transport	14	3	92	190	0.0326086956521739	0.0157894736842105	0.00017162471395881
mitotic cell cycle	14	5	92	328	0.0543478260869565	0.0152439024390244	0.000165694591728526
carbohydrate metabolic process	14	3	92	200	0.0326086956521739	0.015	0.00016304347826087
sporulation	14	2	92	138	0.0217391304347826	0.0144927536231884	0.000157529930686831
regulation of cell cycle	14	3	92	213	0.0326086956521739	0.0140845070422535	0.000153092467850582
proteolysis involved in cellular protein catabolic process	14	3	92	216	0.0326086956521739	0.0138888888888889	0.000150966183574879
pseudohyphal growth	14	1	92	74	0.0108695652173913	0.0135135135135135	0.000146886016451234
ion transport	14	2	92	162	0.0217391304347826	0.0123456790123457	0.00013419216317767
protein folding	14	1	92	95	0.0108695652173913	0.0105263157894737	0.00011441647597254
