cluster	query_uniq1	query_ORF1
cytoskeleton	ABP1_dma590	YCR088W
cytoskeleton and microtubules	ABP1_dma590	YCR088W
cytoskeleton and microtubules_GO_30_1	ABP1_dma590	YCR088W
cytoskeleton organization	ABP1_dma590	YCR088W
cytoskeleton organization_GO_30_5	ABP1_dma590	YCR088W
cytoskeleton_GO_30_1	ABP1_dma590	YCR088W
regulation of organelle organization	ABP1_dma590	YCR088W
regulation of organelle organization_GO_30_1	ABP1_dma590	YCR088W
site of polarized growth	ABP1_dma590	YCR088W
site of polarized growth_GO_30_1	ABP1_dma590	YCR088W
all_queries	ABZ1_dma5337	YNR033W
all_queries_30_6	ABZ1_dma5337	YNR033W
cellular amino acid metabolic process	ABZ1_dma5337	YNR033W
cellular amino acid metabolic process_GO_30_1	ABZ1_dma5337	YNR033W
metabolic	ABZ1_dma5337	YNR033W
metabolic_GO_30_6	ABZ1_dma5337	YNR033W
monocarboxylic acid metabolic process	ABZ1_dma5337	YNR033W
monocarboxylic acid metabolic process_GO_30_2	ABZ1_dma5337	YNR033W
all_queries	ABZ1_sn2915	YNR033W
all_queries_30_1	ABZ1_sn2915	YNR033W
cellular amino acid metabolic process	ABZ1_sn2915	YNR033W
cellular amino acid metabolic process_GO_30_3	ABZ1_sn2915	YNR033W
metabolic	ABZ1_sn2915	YNR033W
metabolic_GO_30_1	ABZ1_sn2915	YNR033W
monocarboxylic acid metabolic process	ABZ1_sn2915	YNR033W
monocarboxylic acid metabolic process_GO_30_4	ABZ1_sn2915	YNR033W
all_queries	ABZ2_dma3898	YMR289W
all_queries_30_20	ABZ2_dma3898	YMR289W
cofactor metabolic process	ABZ2_dma3898	YMR289W
cofactor metabolic process_GO_30_1	ABZ2_dma3898	YMR289W
metabolic	ABZ2_dma3898	YMR289W
metabolic_GO_30_20	ABZ2_dma3898	YMR289W
all_queries	ABZ2_sn3407	YMR289W
all_queries_30_8	ABZ2_sn3407	YMR289W
cofactor metabolic process	ABZ2_sn3407	YMR289W
cofactor metabolic process_GO_30_4	ABZ2_sn3407	YMR289W
metabolic	ABZ2_sn3407	YMR289W
metabolic_GO_30_8	ABZ2_sn3407	YMR289W
all_queries	ACA1_sn2105	YER045C
nucleic acid binding transcription factor activity	ACA1_sn2105	YER045C
nucleic acid binding transcription factor activity_GO_30_2	ACA1_sn2105	YER045C
transcription	ACA1_sn2105	YER045C
transcription and mRNA processing	ACA1_sn2105	YER045C
transcription and mRNA processing_GO_30_9	ACA1_sn2105	YER045C
transcription from RNA polymerase II promoter	ACA1_sn2105	YER045C
transcription from RNA polymerase II promoter_GO_30_5	ACA1_sn2105	YER045C
transcription_GO_30_3	ACA1_sn2105	YER045C
all_queries	ACB1_dma1801	YGR037C
ion transport	ACB1_dma1801	YGR037C
ion transport_GO_30_2	ACB1_dma1801	YGR037C
lipid transport	ACB1_dma1801	YGR037C
lipid transport_GO_30_2	ACB1_dma1801	YGR037C
lipids	ACB1_dma1801	YGR037C
lipids_GO_30_5	ACB1_dma1801	YGR037C
all_queries	ACE2_dma3228	YLR131C
cell cycle	ACE2_dma3228	YLR131C
mitotic cell cycle	ACE2_dma3228	YLR131C
mitotic cell cycle_GO_30_7	ACE2_dma3228	YLR131C
nucleic acid binding transcription factor activity	ACE2_dma3228	YLR131C
nucleic acid binding transcription factor activity_GO_30_1	ACE2_dma3228	YLR131C
transcription	ACE2_dma3228	YLR131C
transcription and mRNA processing	ACE2_dma3228	YLR131C
transcription and mRNA processing_GO_30_6	ACE2_dma3228	YLR131C
transcription from RNA polymerase II promoter	ACE2_dma3228	YLR131C
transcription from RNA polymerase II promoter_GO_30_1	ACE2_dma3228	YLR131C
transcription_GO_30_8	ACE2_dma3228	YLR131C
all_queries	ACE2_sn1346	YLR131C
cell cycle	ACE2_sn1346	YLR131C
cell cycle_GO_30_12	ACE2_sn1346	YLR131C
mitotic cell cycle	ACE2_sn1346	YLR131C
mitotic cell cycle_GO_30_6	ACE2_sn1346	YLR131C
nucleic acid binding transcription factor activity	ACE2_sn1346	YLR131C
nucleic acid binding transcription factor activity_GO_30_1	ACE2_sn1346	YLR131C
transcription	ACE2_sn1346	YLR131C
transcription and mRNA processing	ACE2_sn1346	YLR131C
transcription and mRNA processing_GO_30_2	ACE2_sn1346	YLR131C
transcription from RNA polymerase II promoter	ACE2_sn1346	YLR131C
transcription from RNA polymerase II promoter_GO_30_2	ACE2_sn1346	YLR131C
transcription_GO_30_2	ACE2_sn1346	YLR131C
all_queries	ACF2_sn548	YLR144C
cytoskeleton and microtubules	ACF2_sn548	YLR144C
cytoskeleton and microtubules_GO_30_2	ACF2_sn548	YLR144C
cytoskeleton organization	ACF2_sn548	YLR144C
cytoskeleton organization_GO_30_1	ACF2_sn548	YLR144C
all_queries	ACF4_sn549	YJR083C
all_queries	ACH1_dma85	YBL015W
all_queries_30_14	ACH1_dma85	YBL015W
metabolic	ACH1_dma85	YBL015W
metabolic_GO_30_14	ACH1_dma85	YBL015W
mitochondria and respiration	ACH1_dma85	YBL015W
mitochondria and respiration_GO_30_2	ACH1_dma85	YBL015W
mitochondrion	ACH1_dma85	YBL015W
mitochondrion_GO_30_1	ACH1_dma85	YBL015W
monocarboxylic acid metabolic process	ACH1_dma85	YBL015W
monocarboxylic acid metabolic process_GO_30_1	ACH1_dma85	YBL015W
all_queries	ACH1_sn545	YBL015W
all_queries_30_14	ACH1_sn545	YBL015W
metabolic	ACH1_sn545	YBL015W
metabolic_GO_30_14	ACH1_sn545	YBL015W
mitochondria and respiration	ACH1_sn545	YBL015W
mitochondria and respiration_GO_30_2	ACH1_sn545	YBL015W
mitochondrion	ACH1_sn545	YBL015W
mitochondrion_GO_30_1	ACH1_sn545	YBL015W
monocarboxylic acid metabolic process	ACH1_sn545	YBL015W
monocarboxylic acid metabolic process_GO_30_1	ACH1_sn545	YBL015W
all_queries	ACK1_dma801	YDL203C
cell wall organization or biogenesis	ACK1_dma801	YDL203C
cell wall organization or biogenesis_GO_30_2	ACK1_dma801	YDL203C
mitochondria and respiration	ACK1_dma801	YDL203C
mitochondria and respiration_GO_30_5	ACK1_dma801	YDL203C
mitochondrion	ACK1_dma801	YDL203C
mitochondrion_GO_30_1	ACK1_dma801	YDL203C
all_queries	ACK1_sn2778	YDL203C
cell wall organization or biogenesis	ACK1_sn2778	YDL203C
cell wall organization or biogenesis_GO_30_3	ACK1_sn2778	YDL203C
mitochondria and respiration	ACK1_sn2778	YDL203C
mitochondria and respiration_GO_30_3	ACK1_sn2778	YDL203C
mitochondrion	ACK1_sn2778	YDL203C
mitochondrion_GO_30_15	ACK1_sn2778	YDL203C
all_queries	ACM1_sn3395	YPL267W
cell cycle	ACM1_sn3395	YPL267W
cell cycle_GO_30_5	ACM1_sn3395	YPL267W
mitotic cell cycle	ACM1_sn3395	YPL267W
mitotic cell cycle_GO_30_7	ACM1_sn3395	YPL267W
protein modification by small protein conjugation or removal	ACM1_sn3395	YPL267W
protein modification by small protein conjugation or removal_GO_30_3	ACM1_sn3395	YPL267W
regulation of protein modification process	ACM1_sn3395	YPL267W
regulation of protein modification process_GO_30_2	ACM1_sn3395	YPL267W
all_queries	ACS1_dma37	YAL054C
all_queries_30_4	ACS1_dma37	YAL054C
chromatin	ACS1_dma37	YAL054C
chromatin organization	ACS1_dma37	YAL054C
chromatin organization_GO_30_5	ACS1_dma37	YAL054C
chromatin_GO_30_3	ACS1_dma37	YAL054C
cofactor metabolic process	ACS1_dma37	YAL054C
cofactor metabolic process_GO_30_1	ACS1_dma37	YAL054C
generation of precursor metabolites and energy	ACS1_dma37	YAL054C
generation of precursor metabolites and energy_GO_30_1	ACS1_dma37	YAL054C
histone modification	ACS1_dma37	YAL054C
histone modification_GO_30_2	ACS1_dma37	YAL054C
metabolic	ACS1_dma37	YAL054C
metabolic_GO_30_4	ACS1_dma37	YAL054C
mitochondria and respiration	ACS1_dma37	YAL054C
mitochondria and respiration_GO_30_5	ACS1_dma37	YAL054C
mitochondrion	ACS1_dma37	YAL054C
mitochondrion_GO_30_7	ACS1_dma37	YAL054C
monocarboxylic acid metabolic process	ACS1_dma37	YAL054C
monocarboxylic acid metabolic process_GO_30_2	ACS1_dma37	YAL054C
peptidyl-amino acid modification	ACS1_dma37	YAL054C
peptidyl-amino acid modification_GO_30_4	ACS1_dma37	YAL054C
all_queries	ACS1_sn2738	YAL054C
all_queries_30_15	ACS1_sn2738	YAL054C
chromatin	ACS1_sn2738	YAL054C
chromatin organization	ACS1_sn2738	YAL054C
chromatin organization_GO_30_6	ACS1_sn2738	YAL054C
chromatin_GO_30_8	ACS1_sn2738	YAL054C
cofactor metabolic process	ACS1_sn2738	YAL054C
cofactor metabolic process_GO_30_1	ACS1_sn2738	YAL054C
generation of precursor metabolites and energy	ACS1_sn2738	YAL054C
generation of precursor metabolites and energy_GO_30_1	ACS1_sn2738	YAL054C
histone modification	ACS1_sn2738	YAL054C
histone modification_GO_30_2	ACS1_sn2738	YAL054C
metabolic	ACS1_sn2738	YAL054C
metabolic_GO_30_15	ACS1_sn2738	YAL054C
mitochondria and respiration	ACS1_sn2738	YAL054C
mitochondria and respiration_GO_30_14	ACS1_sn2738	YAL054C
mitochondrion	ACS1_sn2738	YAL054C
mitochondrion_GO_30_4	ACS1_sn2738	YAL054C
monocarboxylic acid metabolic process	ACS1_sn2738	YAL054C
monocarboxylic acid metabolic process_GO_30_3	ACS1_sn2738	YAL054C
peptidyl-amino acid modification	ACS1_sn2738	YAL054C
peptidyl-amino acid modification_GO_30_1	ACS1_sn2738	YAL054C
all_queries	ACS2_damp769	YLR153C
all_queries_30_10	ACS2_damp769	YLR153C
chromatin	ACS2_damp769	YLR153C
chromatin organization	ACS2_damp769	YLR153C
chromatin organization_GO_30_4	ACS2_damp769	YLR153C
chromatin_GO_30_3	ACS2_damp769	YLR153C
cofactor metabolic process	ACS2_damp769	YLR153C
cofactor metabolic process_GO_30_1	ACS2_damp769	YLR153C
histone modification	ACS2_damp769	YLR153C
histone modification_GO_30_1	ACS2_damp769	YLR153C
metabolic	ACS2_damp769	YLR153C
metabolic_GO_30_10	ACS2_damp769	YLR153C
nucleolus	ACS2_damp769	YLR153C
nucleolus_GO_30_1	ACS2_damp769	YLR153C
peptidyl-amino acid modification	ACS2_damp769	YLR153C
peptidyl-amino acid modification_GO_30_1	ACS2_damp769	YLR153C
all_queries	ACS2_tsq2099	YLR153C
all_queries_30_20	ACS2_tsq2099	YLR153C
chromatin	ACS2_tsq2099	YLR153C
chromatin organization	ACS2_tsq2099	YLR153C
chromatin organization_GO_30_7	ACS2_tsq2099	YLR153C
chromatin_GO_30_6	ACS2_tsq2099	YLR153C
cofactor metabolic process	ACS2_tsq2099	YLR153C
cofactor metabolic process_GO_30_2	ACS2_tsq2099	YLR153C
histone modification	ACS2_tsq2099	YLR153C
histone modification_GO_30_1	ACS2_tsq2099	YLR153C
metabolic	ACS2_tsq2099	YLR153C
metabolic_GO_30_20	ACS2_tsq2099	YLR153C
nucleolus	ACS2_tsq2099	YLR153C
nucleolus_GO_30_5	ACS2_tsq2099	YLR153C
peptidyl-amino acid modification	ACS2_tsq2099	YLR153C
peptidyl-amino acid modification_GO_30_3	ACS2_tsq2099	YLR153C
all_queries	ACS2_tsq2100	YLR153C
chromatin	ACS2_tsq2100	YLR153C
chromatin organization	ACS2_tsq2100	YLR153C
chromatin organization_GO_30_3	ACS2_tsq2100	YLR153C
chromatin_GO_30_9	ACS2_tsq2100	YLR153C
cofactor metabolic process	ACS2_tsq2100	YLR153C
cofactor metabolic process_GO_30_4	ACS2_tsq2100	YLR153C
histone modification	ACS2_tsq2100	YLR153C
histone modification_GO_30_3	ACS2_tsq2100	YLR153C
metabolic	ACS2_tsq2100	YLR153C
nucleolus	ACS2_tsq2100	YLR153C
nucleolus_GO_30_3	ACS2_tsq2100	YLR153C
peptidyl-amino acid modification	ACS2_tsq2100	YLR153C
peptidyl-amino acid modification_GO_30_1	ACS2_tsq2100	YLR153C
all_queries	ACT1_tsa137	YFL039C
budding	ACT1_tsa137	YFL039C
budding_GO_30_1	ACT1_tsa137	YFL039C
cell budding	ACT1_tsa137	YFL039C
cell budding_GO_30_2	ACT1_tsa137	YFL039C
cell cortex	ACT1_tsa137	YFL039C
cell cortex_GO_30_3	ACT1_tsa137	YFL039C
cell cycle	ACT1_tsa137	YFL039C
cell cycle_GO_30_9	ACT1_tsa137	YFL039C
cell wall organization or biogenesis	ACT1_tsa137	YFL039C
cell wall organization or biogenesis_GO_30_1	ACT1_tsa137	YFL039C
cellular bud	ACT1_tsa137	YFL039C
cellular bud_GO_30_1	ACT1_tsa137	YFL039C
cellular response to DNA damage stimulus	ACT1_tsa137	YFL039C
cellular response to DNA damage stimulus_GO_30_4	ACT1_tsa137	YFL039C
chromatin	ACT1_tsa137	YFL039C
chromatin organization	ACT1_tsa137	YFL039C
chromatin organization_GO_30_5	ACT1_tsa137	YFL039C
chromatin_GO_30_3	ACT1_tsa137	YFL039C
chromosome	ACT1_tsa137	YFL039C
chromosome_GO_30_3	ACT1_tsa137	YFL039C
cytokinesis	ACT1_tsa137	YFL039C
cytokinesis_GO_30_1	ACT1_tsa137	YFL039C
cytoskeleton	ACT1_tsa137	YFL039C
cytoskeleton and microtubules	ACT1_tsa137	YFL039C
cytoskeleton and microtubules_GO_30_1	ACT1_tsa137	YFL039C
cytoskeleton organization	ACT1_tsa137	YFL039C
cytoskeleton organization_GO_30_2	ACT1_tsa137	YFL039C
cytoskeleton_GO_30_3	ACT1_tsa137	YFL039C
DNA repair	ACT1_tsa137	YFL039C
DNA repair_GO_30_4	ACT1_tsa137	YFL039C
endocytosis	ACT1_tsa137	YFL039C
endocytosis_GO_30_1	ACT1_tsa137	YFL039C
exocytosis	ACT1_tsa137	YFL039C
exocytosis_GO_30_1	ACT1_tsa137	YFL039C
Golgi and ER	ACT1_tsa137	YFL039C
Golgi and ER_GO_30_3	ACT1_tsa137	YFL039C
histone modification	ACT1_tsa137	YFL039C
histone modification_GO_30_2	ACT1_tsa137	YFL039C
meiotic cell cycle	ACT1_tsa137	YFL039C
meiotic cell cycle_GO_30_3	ACT1_tsa137	YFL039C
mitochondria and respiration	ACT1_tsa137	YFL039C
mitochondria and respiration_GO_30_25	ACT1_tsa137	YFL039C
mitochondrion organization	ACT1_tsa137	YFL039C
mitochondrion organization_GO_30_8	ACT1_tsa137	YFL039C
mitotic cell cycle	ACT1_tsa137	YFL039C
mitotic cell cycle_GO_30_5	ACT1_tsa137	YFL039C
organelle inheritance	ACT1_tsa137	YFL039C
organelle inheritance_GO_30_2	ACT1_tsa137	YFL039C
peptidyl-amino acid modification	ACT1_tsa137	YFL039C
peptidyl-amino acid modification_GO_30_4	ACT1_tsa137	YFL039C
response to oxidative stress	ACT1_tsa137	YFL039C
response to oxidative stress_GO_30_2	ACT1_tsa137	YFL039C
site of polarized growth	ACT1_tsa137	YFL039C
site of polarized growth_GO_30_1	ACT1_tsa137	YFL039C
sporulation	ACT1_tsa137	YFL039C
sporulation_GO_30_3	ACT1_tsa137	YFL039C
vacuole organization	ACT1_tsa137	YFL039C
vacuole organization_GO_30_1	ACT1_tsa137	YFL039C
vacuoles	ACT1_tsa137	YFL039C
vacuoles_GO_30_4	ACT1_tsa137	YFL039C
all_queries	ACT1_tsa138	YFL039C
budding	ACT1_tsa138	YFL039C
budding_GO_30_1	ACT1_tsa138	YFL039C
cell budding	ACT1_tsa138	YFL039C
cell budding_GO_30_2	ACT1_tsa138	YFL039C
cell cortex	ACT1_tsa138	YFL039C
cell cortex_GO_30_3	ACT1_tsa138	YFL039C
cell cycle	ACT1_tsa138	YFL039C
cell cycle_GO_30_13	ACT1_tsa138	YFL039C
cell wall organization or biogenesis	ACT1_tsa138	YFL039C
cell wall organization or biogenesis_GO_30_1	ACT1_tsa138	YFL039C
cellular bud	ACT1_tsa138	YFL039C
cellular bud_GO_30_1	ACT1_tsa138	YFL039C
cellular response to DNA damage stimulus	ACT1_tsa138	YFL039C
cellular response to DNA damage stimulus_GO_30_4	ACT1_tsa138	YFL039C
chromatin	ACT1_tsa138	YFL039C
chromatin organization	ACT1_tsa138	YFL039C
chromatin organization_GO_30_5	ACT1_tsa138	YFL039C
chromatin_GO_30_3	ACT1_tsa138	YFL039C
chromosome	ACT1_tsa138	YFL039C
chromosome_GO_30_3	ACT1_tsa138	YFL039C
cytokinesis	ACT1_tsa138	YFL039C
cytokinesis_GO_30_1	ACT1_tsa138	YFL039C
cytoskeleton	ACT1_tsa138	YFL039C
cytoskeleton and microtubules	ACT1_tsa138	YFL039C
cytoskeleton and microtubules_GO_30_1	ACT1_tsa138	YFL039C
cytoskeleton organization	ACT1_tsa138	YFL039C
cytoskeleton organization_GO_30_2	ACT1_tsa138	YFL039C
cytoskeleton_GO_30_3	ACT1_tsa138	YFL039C
DNA repair	ACT1_tsa138	YFL039C
DNA repair_GO_30_4	ACT1_tsa138	YFL039C
endocytosis	ACT1_tsa138	YFL039C
endocytosis_GO_30_1	ACT1_tsa138	YFL039C
exocytosis	ACT1_tsa138	YFL039C
exocytosis_GO_30_1	ACT1_tsa138	YFL039C
Golgi and ER	ACT1_tsa138	YFL039C
Golgi and ER_GO_30_10	ACT1_tsa138	YFL039C
histone modification	ACT1_tsa138	YFL039C
histone modification_GO_30_2	ACT1_tsa138	YFL039C
meiotic cell cycle	ACT1_tsa138	YFL039C
meiotic cell cycle_GO_30_3	ACT1_tsa138	YFL039C
