ORF	Gene	term
YPL211W	NIP7	rRNA processing
YPL217C	BMS1	rRNA processing
YPL235W	RVB2	rRNA processing
YPL266W	DIM1	rRNA processing
YPR016C	TIF6	rRNA processing
YPR112C	MRD1	rRNA processing
YPR132W	RPS23B	rRNA processing
YPR137W	RRP9	rRNA processing
YPR143W	RRP15	rRNA processing
YPR144C	NOC4	rRNA processing
snR10	SNR10	rRNA processing
snR11	SNR11	rRNA processing
snR128	SNR128	rRNA processing
snR13	SNR13	rRNA processing
snR161	SNR161	rRNA processing
snR17a	SNR17A	rRNA processing
snR17b	SNR17B	rRNA processing
snR18	SNR18	rRNA processing
snR189	SNR189	rRNA processing
snR191	SNR191	rRNA processing
snR24	SNR24	rRNA processing
snR3	SNR3	rRNA processing
snR30	SNR30	rRNA processing
snR31	SNR31	rRNA processing
snR32	SNR32	rRNA processing
snR33	SNR33	rRNA processing
snR34	SNR34	rRNA processing
snR35	SNR35	rRNA processing
snR36	SNR36	rRNA processing
snR37	SNR37	rRNA processing
snR38	SNR38	rRNA processing
snR39	SNR39	rRNA processing
snR39B	SNR39B	rRNA processing
snR40	SNR40	rRNA processing
snR41	SNR41	rRNA processing
snR42	SNR42	rRNA processing
snR43	SNR43	rRNA processing
snR44	SNR44	rRNA processing
snR46	SNR46	rRNA processing
snR47	SNR47	rRNA processing
snR48	SNR48	rRNA processing
snR49	SNR49	rRNA processing
snR5	SNR5	rRNA processing
snR50	SNR50	rRNA processing
snR51	SNR51	rRNA processing
snR52	SNR52	rRNA processing
snR53	SNR53	rRNA processing
snR54	SNR54	rRNA processing
snR55	SNR55	rRNA processing
snR56	SNR56	rRNA processing
snR57	SNR57	rRNA processing
snR58	SNR58	rRNA processing
snR59	SNR59	rRNA processing
snR60	SNR60	rRNA processing
snR61	SNR61	rRNA processing
snR62	SNR62	rRNA processing
snR63	SNR63	rRNA processing
snR64	SNR64	rRNA processing
snR65	SNR65	rRNA processing
snR66	SNR66	rRNA processing
snR67	SNR67	rRNA processing
snR68	SNR68	rRNA processing
snR69	SNR69	rRNA processing
snR70	SNR70	rRNA processing
snR71	SNR71	rRNA processing
snR72	SNR72	rRNA processing
snR73	SNR73	rRNA processing
snR74	SNR74	rRNA processing
snR75	SNR75	rRNA processing
snR76	SNR76	rRNA processing
snR77	SNR77	rRNA processing
snR78	SNR78	rRNA processing
snR79	SNR79	rRNA processing
snR8	SNR8	rRNA processing
snR80	SNR80	rRNA processing
snR81	SNR81	rRNA processing
snR82	SNR82	rRNA processing
snR83	SNR83	rRNA processing
snR84	SNR84	rRNA processing
snR85	SNR85	rRNA processing
snR86	SNR86	rRNA processing
snR87	SNR87	rRNA processing
snR9	SNR9	rRNA processing
HRA1	HRA1	ribosomal small subunit biogenesis
YAL026C	DRS2	ribosomal small subunit biogenesis
YAL035W	FUN12	ribosomal small subunit biogenesis
YBL004W	UTP20	ribosomal small subunit biogenesis
YBL072C	RPS8A	ribosomal small subunit biogenesis
YBR048W	RPS11B	ribosomal small subunit biogenesis
YBR181C	RPS6B	ribosomal small subunit biogenesis
YBR189W	RPS9B	ribosomal small subunit biogenesis
YBR247C	ENP1	ribosomal small subunit biogenesis
YCL031C	RRP7	ribosomal small subunit biogenesis
YCL059C	KRR1	ribosomal small subunit biogenesis
YCR031C	RPS14A	ribosomal small subunit biogenesis
YCR047C	BUD23	ribosomal small subunit biogenesis
YCR057C	PWP2	ribosomal small subunit biogenesis
YDL060W	TSR1	ribosomal small subunit biogenesis
YDL083C	RPS16B	ribosomal small subunit biogenesis
YDL148C	NOP14	ribosomal small subunit biogenesis
YDL153C	SAS10	ribosomal small subunit biogenesis
YDL166C	FAP7	ribosomal small subunit biogenesis
YDL213C	NOP6	ribosomal small subunit biogenesis
YDR021W	FAL1	ribosomal small subunit biogenesis
YDR025W	RPS11A	ribosomal small subunit biogenesis
YDR064W	RPS13	ribosomal small subunit biogenesis
YDR159W	SAC3	ribosomal small subunit biogenesis
YDR299W	BFR2	ribosomal small subunit biogenesis
YDR324C	UTP4	ribosomal small subunit biogenesis
YDR339C	FCF1	ribosomal small subunit biogenesis
YDR378C	LSM6	ribosomal small subunit biogenesis
YDR398W	UTP5	ribosomal small subunit biogenesis
YDR447C	RPS17B	ribosomal small subunit biogenesis
YDR449C	UTP6	ribosomal small subunit biogenesis
YDR450W	RPS18A	ribosomal small subunit biogenesis
YDR457W	TOM1	ribosomal small subunit biogenesis
YEL026W	SNU13	ribosomal small subunit biogenesis
YER074W	RPS24A	ribosomal small subunit biogenesis
YER082C	UTP7	ribosomal small subunit biogenesis
YER102W	RPS8B	ribosomal small subunit biogenesis
YER127W	LCP5	ribosomal small subunit biogenesis
YFR001W	LOC1	ribosomal small subunit biogenesis
YGL120C	PRP43	ribosomal small subunit biogenesis
YGL171W	ROK1	ribosomal small subunit biogenesis
YGR081C	SLX9	ribosomal small subunit biogenesis
YGR090W	UTP22	ribosomal small subunit biogenesis
YGR103W	NOP7	ribosomal small subunit biogenesis
YGR118W	RPS23A	ribosomal small subunit biogenesis
YGR128C	UTP8	ribosomal small subunit biogenesis
YGR145W	ENP2	ribosomal small subunit biogenesis
YGR159C	NSR1	ribosomal small subunit biogenesis
YGR214W	RPS0A	ribosomal small subunit biogenesis
YGR251W	NOP19	ribosomal small subunit biogenesis
YGR271C-A	EFG1	ribosomal small subunit biogenesis
YHL015W	RPS20	ribosomal small subunit biogenesis
YHR021C	RPS27B	ribosomal small subunit biogenesis
YHR065C	RRP3	ribosomal small subunit biogenesis
YHR148W	IMP3	ribosomal small subunit biogenesis
YHR169W	DBP8	ribosomal small subunit biogenesis
YHR196W	UTP9	ribosomal small subunit biogenesis
YIL019W	FAF1	ribosomal small subunit biogenesis
YIL069C	RPS24B	ribosomal small subunit biogenesis
YIL091C	UTP25	ribosomal small subunit biogenesis
YJL010C	NOP9	ribosomal small subunit biogenesis
YJL069C	UTP18	ribosomal small subunit biogenesis
YJL109C	UTP10	ribosomal small subunit biogenesis
YJL136C	RPS21B	ribosomal small subunit biogenesis
YJL191W	RPS14B	ribosomal small subunit biogenesis
YJR002W	MPP10	ribosomal small subunit biogenesis
YKL078W	DHR2	ribosomal small subunit biogenesis
YKL082C	RRP14	ribosomal small subunit biogenesis
YKL099C	UTP11	ribosomal small subunit biogenesis
YKL143W	LTV1	ribosomal small subunit biogenesis
YKL156W	RPS27A	ribosomal small subunit biogenesis
YKR057W	RPS21A	ribosomal small subunit biogenesis
YKR060W	UTP30	ribosomal small subunit biogenesis
YLL011W	SOF1	ribosomal small subunit biogenesis
YLR048W	RPS0B	ribosomal small subunit biogenesis
YLR051C	FCF2	ribosomal small subunit biogenesis
YLR068W	FYV7	ribosomal small subunit biogenesis
YLR129W	DIP2	ribosomal small subunit biogenesis
YLR167W	RPS31	ribosomal small subunit biogenesis
YLR186W	EMG1	ribosomal small subunit biogenesis
YLR192C	HCR1	ribosomal small subunit biogenesis
YLR222C	UTP13	ribosomal small subunit biogenesis
YLR336C	SGD1	ribosomal small subunit biogenesis
YLR409C	UTP21	ribosomal small subunit biogenesis
YLR435W	TSR2	ribosomal small subunit biogenesis
YLR441C	RPS1A	ribosomal small subunit biogenesis
YML024W	RPS17A	ribosomal small subunit biogenesis
YML026C	RPS18B	ribosomal small subunit biogenesis
YML063W	RPS1B	ribosomal small subunit biogenesis
YML093W	UTP14	ribosomal small subunit biogenesis
YMR014W	BUD22	ribosomal small subunit biogenesis
YMR093W	UTP15	ribosomal small subunit biogenesis
YMR128W	ECM16	ribosomal small subunit biogenesis
YMR143W	RPS16A	ribosomal small subunit biogenesis
YMR229C	RRP5	ribosomal small subunit biogenesis
YMR269W	TMA23	ribosomal small subunit biogenesis
YMR290C	HAS1	ribosomal small subunit biogenesis
YNL075W	IMP4	ribosomal small subunit biogenesis
YNL132W	KRE33	ribosomal small subunit biogenesis
YNL147W	LSM7	ribosomal small subunit biogenesis
YNL207W	RIO2	ribosomal small subunit biogenesis
YNL224C	SQS1	ribosomal small subunit biogenesis
YNL302C	RPS19B	ribosomal small subunit biogenesis
YNL308C	KRI1	ribosomal small subunit biogenesis
YNR046W	TRM112	ribosomal small subunit biogenesis
YNR054C	ESF2	ribosomal small subunit biogenesis
YOL010W	RCL1	ribosomal small subunit biogenesis
YOL022C	TSR4	ribosomal small subunit biogenesis
YOL121C	RPS19A	ribosomal small subunit biogenesis
YOR004W	UTP23	ribosomal small subunit biogenesis
YOR006C	TSR3	ribosomal small subunit biogenesis
YOR056C	NOB1	ribosomal small subunit biogenesis
YOR078W	BUD21	ribosomal small subunit biogenesis
YOR119C	RIO1	ribosomal small subunit biogenesis
YOR145C	PNO1	ribosomal small subunit biogenesis
YOR205C	GEP3	ribosomal small subunit biogenesis
YOR287C	RRP36	ribosomal small subunit biogenesis
YOR294W	RRS1	ribosomal small subunit biogenesis
YOR310C	NOP58	ribosomal small subunit biogenesis
YPL012W	RRP12	ribosomal small subunit biogenesis
YPL081W	RPS9A	ribosomal small subunit biogenesis
YPL090C	RPS6A	ribosomal small subunit biogenesis
YPL126W	NAN1	ribosomal small subunit biogenesis
YPL204W	HRR25	ribosomal small subunit biogenesis
YPL217C	BMS1	ribosomal small subunit biogenesis
YPL226W	NEW1	ribosomal small subunit biogenesis
YPL239W	YAR1	ribosomal small subunit biogenesis
YPL266W	DIM1	ribosomal small subunit biogenesis
YPR112C	MRD1	ribosomal small subunit biogenesis
YPR132W	RPS23B	ribosomal small subunit biogenesis
YPR144C	NOC4	ribosomal small subunit biogenesis
snR10	SNR10	ribosomal small subunit biogenesis
snR128	SNR128	ribosomal small subunit biogenesis
snR17a	SNR17A	ribosomal small subunit biogenesis
snR17b	SNR17B	ribosomal small subunit biogenesis
ICR1	ICR1	transcription from RNA polymerase II promoter
PWR1	PWR1	transcription from RNA polymerase II promoter
YAL013W	DEP1	transcription from RNA polymerase II promoter
YAL019W	FUN30	transcription from RNA polymerase II promoter
YAL021C	CCR4	transcription from RNA polymerase II promoter
YAL043C	PTA1	transcription from RNA polymerase II promoter
YAL051W	OAF1	transcription from RNA polymerase II promoter
YAL056W	GPB2	transcription from RNA polymerase II promoter
YAL068C	PAU8	transcription from RNA polymerase II promoter
YBL005W	PDR3	transcription from RNA polymerase II promoter
YBL006C	LDB7	transcription from RNA polymerase II promoter
YBL008W	HIR1	transcription from RNA polymerase II promoter
YBL021C	HAP3	transcription from RNA polymerase II promoter
YBL054W	TOD6	transcription from RNA polymerase II promoter
YBL093C	ROX3	transcription from RNA polymerase II promoter
YBL103C	RTG3	transcription from RNA polymerase II promoter
YBR009C	HHF1	transcription from RNA polymerase II promoter
YBR034C	HMT1	transcription from RNA polymerase II promoter
YBR049C	REB1	transcription from RNA polymerase II promoter
YBR050C	REG2	transcription from RNA polymerase II promoter
YBR066C	NRG2	transcription from RNA polymerase II promoter
YBR083W	TEC1	transcription from RNA polymerase II promoter
YBR089C-A	NHP6B	transcription from RNA polymerase II promoter
YBR095C	RXT2	transcription from RNA polymerase II promoter
YBR097W	VPS15	transcription from RNA polymerase II promoter
YBR111W-A	SUS1	transcription from RNA polymerase II promoter
YBR112C	CYC8	transcription from RNA polymerase II promoter
YBR135W	CKS1	transcription from RNA polymerase II promoter
YBR154C	RPB5	transcription from RNA polymerase II promoter
YBR160W	CDC28	transcription from RNA polymerase II promoter
YBR182C	SMP1	transcription from RNA polymerase II promoter
YBR193C	MED8	transcription from RNA polymerase II promoter
YBR198C	TAF5	transcription from RNA polymerase II promoter
YBR215W	HPC2	transcription from RNA polymerase II promoter
YBR239C	ERT1	transcription from RNA polymerase II promoter
YBR240C	THI2	transcription from RNA polymerase II promoter
YBR245C	ISW1	transcription from RNA polymerase II promoter
YBR253W	SRB6	transcription from RNA polymerase II promoter
YBR279W	PAF1	transcription from RNA polymerase II promoter
YBR289W	SNF5	transcription from RNA polymerase II promoter
YCL010C	SGF29	transcription from RNA polymerase II promoter
YCL055W	KAR4	transcription from RNA polymerase II promoter
YCL058W-A	ADF1	transcription from RNA polymerase II promoter
YCL066W	HMLALPHA1	transcription from RNA polymerase II promoter
YCL067C	HMLALPHA2	transcription from RNA polymerase II promoter
YCR020W-B	HTL1	transcription from RNA polymerase II promoter
YCR039C	MATALPHA2	transcription from RNA polymerase II promoter
YCR040W	MATALPHA1	transcription from RNA polymerase II promoter
YCR042C	TAF2	transcription from RNA polymerase II promoter
YCR052W	RSC6	transcription from RNA polymerase II promoter
YCR065W	HCM1	transcription from RNA polymerase II promoter
YCR081W	SRB8	transcription from RNA polymerase II promoter
YCR084C	TUP1	transcription from RNA polymerase II promoter
YCR093W	CDC39	transcription from RNA polymerase II promoter
YDL005C	MED2	transcription from RNA polymerase II promoter
YDL020C	RPN4	transcription from RNA polymerase II promoter
YDL074C	BRE1	transcription from RNA polymerase II promoter
YDL080C	THI3	transcription from RNA polymerase II promoter
YDL084W	SUB2	transcription from RNA polymerase II promoter
YDL106C	PHO2	transcription from RNA polymerase II promoter
YDL108W	KIN28	transcription from RNA polymerase II promoter
YDL116W	NUP84	transcription from RNA polymerase II promoter
YDL140C	RPO21	transcription from RNA polymerase II promoter
YDL151C	BUD30	transcription from RNA polymerase II promoter
YDL165W	CDC36	transcription from RNA polymerase II promoter
YDL170W	UGA3	transcription from RNA polymerase II promoter
YDL214C	PRR2	transcription from RNA polymerase II promoter
YDR005C	MAF1	transcription from RNA polymerase II promoter
YDR009W	GAL3	transcription from RNA polymerase II promoter
YDR028C	REG1	transcription from RNA polymerase II promoter
YDR034C	LYS14	transcription from RNA polymerase II promoter
YDR043C	NRG1	transcription from RNA polymerase II promoter
YDR073W	SNF11	transcription from RNA polymerase II promoter
YDR079C-A	TFB5	transcription from RNA polymerase II promoter
YDR081C	PDC2	transcription from RNA polymerase II promoter
YDR096W	GIS1	transcription from RNA polymerase II promoter
YDR123C	INO2	transcription from RNA polymerase II promoter
YDR138W	HPR1	transcription from RNA polymerase II promoter
YDR145W	TAF12	transcription from RNA polymerase II promoter
YDR167W	TAF10	transcription from RNA polymerase II promoter
YDR169C	STB3	transcription from RNA polymerase II promoter
YDR173C	ARG82	transcription from RNA polymerase II promoter
YDR174W	HMO1	transcription from RNA polymerase II promoter
YDR183W	PLP1	transcription from RNA polymerase II promoter
YDR190C	RVB1	transcription from RNA polymerase II promoter
YDR195W	REF2	transcription from RNA polymerase II promoter
YDR207C	UME6	transcription from RNA polymerase II promoter
YDR213W	UPC2	transcription from RNA polymerase II promoter
YDR216W	ADR1	transcription from RNA polymerase II promoter
YDR217C	RAD9	transcription from RNA polymerase II promoter
YDR223W	CRF1	transcription from RNA polymerase II promoter
YDR224C	HTB1	transcription from RNA polymerase II promoter
YDR225W	HTA1	transcription from RNA polymerase II promoter
YDR228C	PCF11	transcription from RNA polymerase II promoter
YDR253C	MET32	transcription from RNA polymerase II promoter
YDR259C	YAP6	transcription from RNA polymerase II promoter
YDR295C	HDA2	transcription from RNA polymerase II promoter
YDR301W	CFT1	transcription from RNA polymerase II promoter
YDR303C	RSC3	transcription from RNA polymerase II promoter
YDR308C	SRB7	transcription from RNA polymerase II promoter
YDR310C	SUM1	transcription from RNA polymerase II promoter
YDR311W	TFB1	transcription from RNA polymerase II promoter
YDR392W	SPT3	transcription from RNA polymerase II promoter
YDR394W	RPT3	transcription from RNA polymerase II promoter
YDR397C	NCB2	transcription from RNA polymerase II promoter
YDR404C	RPB7	transcription from RNA polymerase II promoter
YDR421W	ARO80	transcription from RNA polymerase II promoter
YDR423C	CAD1	transcription from RNA polymerase II promoter
YDR432W	NPL3	transcription from RNA polymerase II promoter
YDR443C	SSN2	transcription from RNA polymerase II promoter
YDR448W	ADA2	transcription from RNA polymerase II promoter
YDR451C	YHP1	transcription from RNA polymerase II promoter
YDR460W	TFB3	transcription from RNA polymerase II promoter
YDR463W	STP1	transcription from RNA polymerase II promoter
YDR464W	SPP41	transcription from RNA polymerase II promoter
YDR480W	DIG2	transcription from RNA polymerase II promoter
YDR512C	EMI1	transcription from RNA polymerase II promoter
YDR516C	EMI2	transcription from RNA polymerase II promoter
YDR527W	RBA50	transcription from RNA polymerase II promoter
YEL009C	GCN4	transcription from RNA polymerase II promoter
YEL037C	RAD23	transcription from RNA polymerase II promoter
YER022W	SRB4	transcription from RNA polymerase II promoter
YER028C	MIG3	transcription from RNA polymerase II promoter
YER040W	GLN3	transcription from RNA polymerase II promoter
YER045C	ACA1	transcription from RNA polymerase II promoter
YER051W	JHD1	transcription from RNA polymerase II promoter
YER068W	MOT2	transcription from RNA polymerase II promoter
YER088C	DOT6	transcription from RNA polymerase II promoter
YER111C	SWI4	transcription from RNA polymerase II promoter
YER125W	RSP5	transcription from RNA polymerase II promoter
YER133W	GLC7	transcription from RNA polymerase II promoter
YER139C	RTR1	transcription from RNA polymerase II promoter
YER148W	SPT15	transcription from RNA polymerase II promoter
YER159C	BUR6	transcription from RNA polymerase II promoter
YER161C	SPT2	transcription from RNA polymerase II promoter
YER162C	RAD4	transcription from RNA polymerase II promoter
YER164W	CHD1	transcription from RNA polymerase II promoter
YER169W	RPH1	transcription from RNA polymerase II promoter
YER171W	RAD3	transcription from RNA polymerase II promoter
YER177W	BMH1	transcription from RNA polymerase II promoter
YER184C	TOG1	transcription from RNA polymerase II promoter
YFL021W	GAT1	transcription from RNA polymerase II promoter
YFL024C	EPL1	transcription from RNA polymerase II promoter
YFL028C	CAF16	transcription from RNA polymerase II promoter
YFL031W	HAC1	transcription from RNA polymerase II promoter
YFL049W	SWP82	transcription from RNA polymerase II promoter
YFL052W	ZNF1	transcription from RNA polymerase II promoter
YFR034C	PHO4	transcription from RNA polymerase II promoter
YFR037C	RSC8	transcription from RNA polymerase II promoter
YGL013C	PDR1	transcription from RNA polymerase II promoter
YGL025C	PGD1	transcription from RNA polymerase II promoter
YGL035C	MIG1	transcription from RNA polymerase II promoter
YGL043W	DST1	transcription from RNA polymerase II promoter
YGL048C	RPT6	transcription from RNA polymerase II promoter
YGL058W	RAD6	transcription from RNA polymerase II promoter
YGL066W	SGF73	transcription from RNA polymerase II promoter
YGL070C	RPB9	transcription from RNA polymerase II promoter
YGL071W	AFT1	transcription from RNA polymerase II promoter
YGL073W	HSF1	transcription from RNA polymerase II promoter
YGL112C	TAF6	transcription from RNA polymerase II promoter
YGL115W	SNF4	transcription from RNA polymerase II promoter
YGL127C	SOH1	transcription from RNA polymerase II promoter
YGL130W	CEG1	transcription from RNA polymerase II promoter
YGL131C	SNT2	transcription from RNA polymerase II promoter
YGL133W	ITC1	transcription from RNA polymerase II promoter
YGL150C	INO80	transcription from RNA polymerase II promoter
YGL151W	NUT1	transcription from RNA polymerase II promoter
YGL162W	SUT1	transcription from RNA polymerase II promoter
YGL166W	CUP2	transcription from RNA polymerase II promoter
YGL173C	XRN1	transcription from RNA polymerase II promoter
YGL181W	GTS1	transcription from RNA polymerase II promoter
YGL207W	SPT16	transcription from RNA polymerase II promoter
YGL209W	MIG2	transcription from RNA polymerase II promoter
YGL220W	BOL2	transcription from RNA polymerase II promoter
YGL237C	HAP2	transcription from RNA polymerase II promoter
YGL244W	RTF1	transcription from RNA polymerase II promoter
YGL246C	RAI1	transcription from RNA polymerase II promoter
YGL252C	RTG2	transcription from RNA polymerase II promoter
YGL254W	FZF1	transcription from RNA polymerase II promoter
YGR005C	TFG2	transcription from RNA polymerase II promoter
YGR044C	RME1	transcription from RNA polymerase II promoter
YGR056W	RSC1	transcription from RNA polymerase II promoter
YGR063C	SPT4	transcription from RNA polymerase II promoter
YGR104C	SRB5	transcription from RNA polymerase II promoter
