cluster	Gene_uniq	Gene.gene_name
all_queries	1_YGR109C	CLB6
all_queries_30_17	1_YGR109C	CLB6
cell cycle	1_YGR109C	CLB6
cell cycle_GO_30_3	1_YGR109C	CLB6
DNA replication	1_YGR109C	CLB6
meiotic cell cycle	1_YGR109C	CLB6
meiotic cell cycle_GO_30_3	1_YGR109C	CLB6
metabolic	1_YGR109C	CLB6
metabolic_GO_30_6	1_YGR109C	CLB6
mitotic cell cycle	1_YGR109C	CLB6
mitotic cell cycle_GO_30_1	1_YGR109C	CLB6
regulation of cell cycle	1_YGR109C	CLB6
regulation of cell cycle_GO_30_3	1_YGR109C	CLB6
regulation of DNA metabolic process	1_YGR109C	CLB6
regulation of protein modification process	1_YGR109C	CLB6
regulation of protein modification process_GO_30_1	1_YGR109C	CLB6
all_queries	1_YPR119W	CLB2
all_queries_30_40	1_YPR119W	CLB2
budding	1_YPR119W	CLB2
budding_GO_30_1	1_YPR119W	CLB2
cell cycle	1_YPR119W	CLB2
cell cycle_GO_30_5	1_YPR119W	CLB2
cellular bud	1_YPR119W	CLB2
cellular bud_GO_30_3	1_YPR119W	CLB2
chromatin	1_YPR119W	CLB2
chromatin_GO_30_6	1_YPR119W	CLB2
chromosome segregation	1_YPR119W	CLB2
cytoskeleton	1_YPR119W	CLB2
cytoskeleton and microtubules	1_YPR119W	CLB2
cytoskeleton and microtubules_GO_30_2	1_YPR119W	CLB2
cytoskeleton organization	1_YPR119W	CLB2
cytoskeleton_GO_30_4	1_YPR119W	CLB2
microtubule organizing center	1_YPR119W	CLB2
mitotic cell cycle	1_YPR119W	CLB2
mitotic cell cycle_GO_30_2	1_YPR119W	CLB2
organelle fission	1_YPR119W	CLB2
organelle fission_GO_30_5	1_YPR119W	CLB2
regulation of cell cycle	1_YPR119W	CLB2
regulation of cell cycle_GO_30_3	1_YPR119W	CLB2
regulation of organelle organization	1_YPR119W	CLB2
regulation of organelle organization_GO_30_2	1_YPR119W	CLB2
regulation of protein modification process	1_YPR119W	CLB2
regulation of protein modification process_GO_30_2	1_YPR119W	CLB2
site of polarized growth	1_YPR119W	CLB2
site of polarized growth_GO_30_4	1_YPR119W	CLB2
all_queries	1_YPR120C	CLB5
all_queries_30_32	1_YPR120C	CLB5
budding	1_YPR120C	CLB5
budding_GO_30_9	1_YPR120C	CLB5
cell cycle	1_YPR120C	CLB5
cell cycle_GO_30_11	1_YPR120C	CLB5
cytoskeleton and microtubules	1_YPR120C	CLB5
cytoskeleton and microtubules_GO_30_1	1_YPR120C	CLB5
cytoskeleton organization	1_YPR120C	CLB5
cytoskeleton organization_GO_30_3	1_YPR120C	CLB5
DNA replication	1_YPR120C	CLB5
DNA replication_GO_30_1	1_YPR120C	CLB5
meiotic cell cycle	1_YPR120C	CLB5
meiotic cell cycle_GO_30_1	1_YPR120C	CLB5
metabolic	1_YPR120C	CLB5
metabolic_GO_30_12	1_YPR120C	CLB5
mitotic cell cycle	1_YPR120C	CLB5
mitotic cell cycle_GO_30_3	1_YPR120C	CLB5
organelle assembly	1_YPR120C	CLB5
organelle assembly_GO_30_1	1_YPR120C	CLB5
organelle fission	1_YPR120C	CLB5
organelle fission_GO_30_2	1_YPR120C	CLB5
regulation of cell cycle	1_YPR120C	CLB5
regulation of cell cycle_GO_30_2	1_YPR120C	CLB5
regulation of DNA metabolic process	1_YPR120C	CLB5
regulation of DNA metabolic process_GO_30_1	1_YPR120C	CLB5
regulation of organelle organization	1_YPR120C	CLB5
regulation of organelle organization_GO_30_2	1_YPR120C	CLB5
regulation of protein modification process	1_YPR120C	CLB5
regulation of protein modification process_GO_30_1	1_YPR120C	CLB5
all_queries	2_YDL155W	CLB3
all_queries_30_40	2_YDL155W	CLB3
budding	2_YDL155W	CLB3
budding_GO_30_1	2_YDL155W	CLB3
cell cycle	2_YDL155W	CLB3
cell cycle_GO_30_5	2_YDL155W	CLB3
cytoskeleton and microtubules	2_YDL155W	CLB3
cytoskeleton and microtubules_GO_30_2	2_YDL155W	CLB3
cytoskeleton organization	2_YDL155W	CLB3
mitotic cell cycle	2_YDL155W	CLB3
mitotic cell cycle_GO_30_2	2_YDL155W	CLB3
organelle assembly	2_YDL155W	CLB3
organelle assembly_GO_30_2	2_YDL155W	CLB3
organelle fission	2_YDL155W	CLB3
organelle fission_GO_30_5	2_YDL155W	CLB3
regulation of cell cycle	2_YDL155W	CLB3
regulation of cell cycle_GO_30_3	2_YDL155W	CLB3
regulation of organelle organization	2_YDL155W	CLB3
regulation of organelle organization_GO_30_2	2_YDL155W	CLB3
regulation of protein modification process	2_YDL155W	CLB3
regulation of protein modification process_GO_30_2	2_YDL155W	CLB3
all_queries	2_YDR113C	PDS1
all_queries_30_54	2_YDR113C	PDS1
budding	2_YDR113C	PDS1
budding_GO_30_5	2_YDR113C	PDS1
cell cycle	2_YDR113C	PDS1
cell cycle_GO_30_1	2_YDR113C	PDS1
cellular response to DNA damage stimulus	2_YDR113C	PDS1
cellular response to DNA damage stimulus_GO_30_1	2_YDR113C	PDS1
chromatin	2_YDR113C	PDS1
chromatin_GO_30_6	2_YDR113C	PDS1
chromosome segregation	2_YDR113C	PDS1
chromosome segregation_GO_30_2	2_YDR113C	PDS1
cytoskeleton	2_YDR113C	PDS1
cytoskeleton and microtubules	2_YDR113C	PDS1
cytoskeleton and microtubules_GO_30_6	2_YDR113C	PDS1
cytoskeleton_GO_30_2	2_YDR113C	PDS1
DNA recombination	2_YDR113C	PDS1
DNA recombination_GO_30_1	2_YDR113C	PDS1
DNA repair	2_YDR113C	PDS1
DNA repair_GO_30_1	2_YDR113C	PDS1
meiotic cell cycle	2_YDR113C	PDS1
meiotic cell cycle_GO_30_1	2_YDR113C	PDS1
mitotic cell cycle	2_YDR113C	PDS1
mitotic cell cycle_GO_30_5	2_YDR113C	PDS1
organelle fission	2_YDR113C	PDS1
organelle fission_GO_30_1	2_YDR113C	PDS1
regulation of cell cycle	2_YDR113C	PDS1
regulation of cell cycle_GO_30_1	2_YDR113C	PDS1
regulation of organelle organization	2_YDR113C	PDS1
regulation of organelle organization_GO_30_1	2_YDR113C	PDS1
all_queries	2_YER008C	SEC3
all_queries_30_10	2_YER008C	SEC3
budding	2_YER008C	SEC3
budding_GO_30_2	2_YER008C	SEC3
cell cortex	2_YER008C	SEC3
cell cortex_GO_30_1	2_YER008C	SEC3
cellular bud	2_YER008C	SEC3
cellular bud_GO_30_3	2_YER008C	SEC3
Golgi	2_YER008C	SEC3
Golgi and ER	2_YER008C	SEC3
Golgi and ER_GO_30_2	2_YER008C	SEC3
Golgi vesicle transport	2_YER008C	SEC3
Golgi vesicle transport_GO_30_2	2_YER008C	SEC3
Golgi_GO_30_1	2_YER008C	SEC3
lipid binding	2_YER008C	SEC3
lipid binding_GO_30_1	2_YER008C	SEC3
lipids	2_YER008C	SEC3
lipids_GO_30_4	2_YER008C	SEC3
organelle inheritance	2_YER008C	SEC3
organelle inheritance_GO_30_1	2_YER008C	SEC3
site of polarized growth	2_YER008C	SEC3
site of polarized growth_GO_30_3	2_YER008C	SEC3
all_queries	2_YGR108W	CLB1
all_queries_30_41	2_YGR108W	CLB1
budding	2_YGR108W	CLB1
budding_GO_30_1	2_YGR108W	CLB1
cell cycle	2_YGR108W	CLB1
cell cycle_GO_30_3	2_YGR108W	CLB1
cytoskeleton and microtubules	2_YGR108W	CLB1
cytoskeleton and microtubules_GO_30_2	2_YGR108W	CLB1
cytoskeleton organization	2_YGR108W	CLB1
meiotic cell cycle	2_YGR108W	CLB1
meiotic cell cycle_GO_30_3	2_YGR108W	CLB1
mitotic cell cycle	2_YGR108W	CLB1
mitotic cell cycle_GO_30_1	2_YGR108W	CLB1
organelle fission	2_YGR108W	CLB1
organelle fission_GO_30_3	2_YGR108W	CLB1
regulation of cell cycle	2_YGR108W	CLB1
regulation of cell cycle_GO_30_3	2_YGR108W	CLB1
regulation of organelle organization	2_YGR108W	CLB1
regulation of organelle organization_GO_30_2	2_YGR108W	CLB1
regulation of protein modification process	2_YGR108W	CLB1
regulation of protein modification process_GO_30_1	2_YGR108W	CLB1
all_queries	2_YGR109C	CLB6
all_queries_30_82	2_YGR109C	CLB6
cell cycle	2_YGR109C	CLB6
cell cycle_GO_30_3	2_YGR109C	CLB6
DNA replication	2_YGR109C	CLB6
meiotic cell cycle	2_YGR109C	CLB6
meiotic cell cycle_GO_30_3	2_YGR109C	CLB6
metabolic	2_YGR109C	CLB6
metabolic_GO_30_1	2_YGR109C	CLB6
mitotic cell cycle	2_YGR109C	CLB6
mitotic cell cycle_GO_30_1	2_YGR109C	CLB6
regulation of cell cycle	2_YGR109C	CLB6
regulation of cell cycle_GO_30_3	2_YGR109C	CLB6
regulation of DNA metabolic process	2_YGR109C	CLB6
regulation of protein modification process	2_YGR109C	CLB6
regulation of protein modification process_GO_30_1	2_YGR109C	CLB6
all_queries	2_YJL085W	EXO70
all_queries_30_10	2_YJL085W	EXO70
budding	2_YJL085W	EXO70
budding_GO_30_2	2_YJL085W	EXO70
cell cortex	2_YJL085W	EXO70
cell cortex_GO_30_1	2_YJL085W	EXO70
cellular bud	2_YJL085W	EXO70
cellular bud_GO_30_3	2_YJL085W	EXO70
Golgi	2_YJL085W	EXO70
Golgi and ER	2_YJL085W	EXO70
Golgi and ER_GO_30_2	2_YJL085W	EXO70
Golgi vesicle transport	2_YJL085W	EXO70
Golgi vesicle transport_GO_30_2	2_YJL085W	EXO70
Golgi_GO_30_1	2_YJL085W	EXO70
lipid binding	2_YJL085W	EXO70
lipid binding_GO_30_1	2_YJL085W	EXO70
lipids	2_YJL085W	EXO70
lipids_GO_30_4	2_YJL085W	EXO70
site of polarized growth	2_YJL085W	EXO70
site of polarized growth_GO_30_3	2_YJL085W	EXO70
all_queries	2_YLR350W	ORM2
all_queries_30_20	2_YLR350W	ORM2
endomembrane system	2_YLR350W	ORM2
endomembrane system_GO_30_5	2_YLR350W	ORM2
endoplasmic reticulum	2_YLR350W	ORM2
endoplasmic reticulum_GO_30_3	2_YLR350W	ORM2
ER	2_YLR350W	ORM2
ER_GO_30_3	2_YLR350W	ORM2
Golgi and ER	2_YLR350W	ORM2
Golgi and ER_GO_30_7	2_YLR350W	ORM2
lipid metabolic process	2_YLR350W	ORM2
lipid metabolic process_GO_30_4	2_YLR350W	ORM2
lipids	2_YLR350W	ORM2
lipids_GO_30_1	2_YLR350W	ORM2
metabolic	2_YLR350W	ORM2
metabolic_GO_30_9	2_YLR350W	ORM2
all_queries	2_YPR119W	CLB2
all_queries_30_62	2_YPR119W	CLB2
budding	2_YPR119W	CLB2
budding_GO_30_9	2_YPR119W	CLB2
cell cycle	2_YPR119W	CLB2
cell cycle_GO_30_4	2_YPR119W	CLB2
cellular bud	2_YPR119W	CLB2
cellular bud_GO_30_1	2_YPR119W	CLB2
chromatin	2_YPR119W	CLB2
chromatin_GO_30_2	2_YPR119W	CLB2
chromosome segregation	2_YPR119W	CLB2
chromosome segregation_GO_30_1	2_YPR119W	CLB2
cytoskeleton	2_YPR119W	CLB2
cytoskeleton and microtubules	2_YPR119W	CLB2
cytoskeleton and microtubules_GO_30_3	2_YPR119W	CLB2
cytoskeleton organization	2_YPR119W	CLB2
cytoskeleton organization_GO_30_3	2_YPR119W	CLB2
cytoskeleton_GO_30_2	2_YPR119W	CLB2
microtubule organizing center	2_YPR119W	CLB2
mitotic cell cycle	2_YPR119W	CLB2
mitotic cell cycle_GO_30_6	2_YPR119W	CLB2
organelle fission	2_YPR119W	CLB2
organelle fission_GO_30_4	2_YPR119W	CLB2
regulation of cell cycle	2_YPR119W	CLB2
regulation of cell cycle_GO_30_2	2_YPR119W	CLB2
regulation of organelle organization	2_YPR119W	CLB2
regulation of organelle organization_GO_30_1	2_YPR119W	CLB2
regulation of protein modification process	2_YPR119W	CLB2
regulation of protein modification process_GO_30_1	2_YPR119W	CLB2
site of polarized growth	2_YPR119W	CLB2
site of polarized growth_GO_30_2	2_YPR119W	CLB2
all_queries	2_YPR120C	CLB5
all_queries_30_49	2_YPR120C	CLB5
budding	2_YPR120C	CLB5
budding_GO_30_5	2_YPR120C	CLB5
cell cycle	2_YPR120C	CLB5
cell cycle_GO_30_4	2_YPR120C	CLB5
cytoskeleton and microtubules	2_YPR120C	CLB5
cytoskeleton and microtubules_GO_30_8	2_YPR120C	CLB5
cytoskeleton organization	2_YPR120C	CLB5
DNA replication	2_YPR120C	CLB5
DNA replication_GO_30_1	2_YPR120C	CLB5
meiotic cell cycle	2_YPR120C	CLB5
meiotic cell cycle_GO_30_1	2_YPR120C	CLB5
metabolic	2_YPR120C	CLB5
metabolic_GO_30_4	2_YPR120C	CLB5
mitotic cell cycle	2_YPR120C	CLB5
mitotic cell cycle_GO_30_2	2_YPR120C	CLB5
organelle assembly	2_YPR120C	CLB5
organelle assembly_GO_30_1	2_YPR120C	CLB5
organelle fission	2_YPR120C	CLB5
organelle fission_GO_30_4	2_YPR120C	CLB5
regulation of cell cycle	2_YPR120C	CLB5
regulation of cell cycle_GO_30_2	2_YPR120C	CLB5
regulation of DNA metabolic process	2_YPR120C	CLB5
regulation of DNA metabolic process_GO_30_1	2_YPR120C	CLB5
regulation of organelle organization	2_YPR120C	CLB5
regulation of organelle organization_GO_30_1	2_YPR120C	CLB5
regulation of protein modification process	2_YPR120C	CLB5
regulation of protein modification process_GO_30_2	2_YPR120C	CLB5
all_queries	3_YDR113C	PDS1
all_queries_30_3	3_YDR113C	PDS1
budding	3_YDR113C	PDS1
budding_GO_30_8	3_YDR113C	PDS1
cell cycle	3_YDR113C	PDS1
cell cycle_GO_30_6	3_YDR113C	PDS1
cellular response to DNA damage stimulus	3_YDR113C	PDS1
cellular response to DNA damage stimulus_GO_30_1	3_YDR113C	PDS1
chromatin	3_YDR113C	PDS1
chromatin_GO_30_1	3_YDR113C	PDS1
chromosome segregation	3_YDR113C	PDS1
chromosome segregation_GO_30_2	3_YDR113C	PDS1
cytoskeleton	3_YDR113C	PDS1
cytoskeleton and microtubules	3_YDR113C	PDS1
cytoskeleton and microtubules_GO_30_8	3_YDR113C	PDS1
cytoskeleton_GO_30_4	3_YDR113C	PDS1
DNA recombination	3_YDR113C	PDS1
DNA recombination_GO_30_2	3_YDR113C	PDS1
DNA repair	3_YDR113C	PDS1
DNA repair_GO_30_2	3_YDR113C	PDS1
meiotic cell cycle	3_YDR113C	PDS1
meiotic cell cycle_GO_30_3	3_YDR113C	PDS1
mitotic cell cycle	3_YDR113C	PDS1
mitotic cell cycle_GO_30_2	3_YDR113C	PDS1
organelle fission	3_YDR113C	PDS1
organelle fission_GO_30_1	3_YDR113C	PDS1
regulation of cell cycle	3_YDR113C	PDS1
regulation of cell cycle_GO_30_1	3_YDR113C	PDS1
regulation of organelle organization	3_YDR113C	PDS1
regulation of organelle organization_GO_30_1	3_YDR113C	PDS1
all_queries	3_YGR038W	ORM1
all_queries_30_61	3_YGR038W	ORM1
endomembrane system	3_YGR038W	ORM1
endomembrane system_GO_30_2	3_YGR038W	ORM1
endoplasmic reticulum	3_YGR038W	ORM1
endoplasmic reticulum_GO_30_6	3_YGR038W	ORM1
ER	3_YGR038W	ORM1
ER_GO_30_6	3_YGR038W	ORM1
Golgi and ER	3_YGR038W	ORM1
Golgi and ER_GO_30_15	3_YGR038W	ORM1
lipid metabolic process	3_YGR038W	ORM1
lipid metabolic process_GO_30_3	3_YGR038W	ORM1
lipids	3_YGR038W	ORM1
lipids_GO_30_1	3_YGR038W	ORM1
metabolic	3_YGR038W	ORM1
metabolic_GO_30_2	3_YGR038W	ORM1
all_queries	4_YDR113C	PDS1
all_queries_30_25	4_YDR113C	PDS1
budding	4_YDR113C	PDS1
budding_GO_30_4	4_YDR113C	PDS1
cell cycle	4_YDR113C	PDS1
cell cycle_GO_30_11	4_YDR113C	PDS1
cellular response to DNA damage stimulus	4_YDR113C	PDS1
cellular response to DNA damage stimulus_GO_30_1	4_YDR113C	PDS1
chromatin	4_YDR113C	PDS1
chromatin_GO_30_5	4_YDR113C	PDS1
chromosome segregation	4_YDR113C	PDS1
cytoskeleton	4_YDR113C	PDS1
cytoskeleton and microtubules	4_YDR113C	PDS1
cytoskeleton and microtubules_GO_30_7	4_YDR113C	PDS1
cytoskeleton_GO_30_1	4_YDR113C	PDS1
DNA recombination	4_YDR113C	PDS1
DNA recombination_GO_30_2	4_YDR113C	PDS1
DNA repair	4_YDR113C	PDS1
DNA repair_GO_30_2	4_YDR113C	PDS1
meiotic cell cycle	4_YDR113C	PDS1
meiotic cell cycle_GO_30_2	4_YDR113C	PDS1
mitotic cell cycle	4_YDR113C	PDS1
mitotic cell cycle_GO_30_1	4_YDR113C	PDS1
organelle fission	4_YDR113C	PDS1
organelle fission_GO_30_3	4_YDR113C	PDS1
regulation of cell cycle	4_YDR113C	PDS1
regulation of cell cycle_GO_30_1	4_YDR113C	PDS1
regulation of organelle organization	4_YDR113C	PDS1
regulation of organelle organization_GO_30_1	4_YDR113C	PDS1
all_queries	YAL002W	VPS8
all_queries_30_72	YAL002W	VPS8
cytoplasmic vesicle	YAL002W	VPS8
cytoplasmic vesicle_GO_30_1	YAL002W	VPS8
endomembrane system	YAL002W	VPS8
endomembrane system_GO_30_5	YAL002W	VPS8
endosomal transport	YAL002W	VPS8
endosomal transport_GO_30_1	YAL002W	VPS8
Golgi and ER	YAL002W	VPS8
Golgi and ER_GO_30_10	YAL002W	VPS8
protein targeting	YAL002W	VPS8
protein targeting_GO_30_1	YAL002W	VPS8
all_queries	YAL005C	SSA1
all_queries_30_14	YAL005C	SSA1
cell wall	YAL005C	SSA1
cell wall_GO_30_1	YAL005C	SSA1
cytoplasmic translation	YAL005C	SSA1
cytoplasmic translation_GO_30_1	YAL005C	SSA1
mitochondria and respiration	YAL005C	SSA1
mitochondria and respiration_GO_30_13	YAL005C	SSA1
mitochondrion organization	YAL005C	SSA1
mitochondrion organization_GO_30_2	YAL005C	SSA1
nuclear transport	YAL005C	SSA1
nuclear transport and organization	YAL005C	SSA1
nuclear transport and organization_GO_30_3	YAL005C	SSA1
protein modification by small protein conjugation or removal	YAL005C	SSA1
protein modification by small protein conjugation or removal_GO_30_1	YAL005C	SSA1
protein targeting	YAL005C	SSA1
protein targeting_GO_30_1	YAL005C	SSA1
proteolysis involved in cellular protein catabolic process	YAL005C	SSA1
proteolysis involved in cellular protein catabolic process_GO_30_1	YAL005C	SSA1
ribosomes and translation	YAL005C	SSA1
ribosomes and translation_GO_30_1	YAL005C	SSA1
transmembrane transport	YAL005C	SSA1
transmembrane transport_GO_30_1	YAL005C	SSA1
vacuole	YAL005C	SSA1
vacuole_GO_30_4	YAL005C	SSA1
vacuoles	YAL005C	SSA1
vacuoles_GO_30_8	YAL005C	SSA1
all_queries	YAL007C	ERP2
all_queries_30_48	YAL007C	ERP2
cytoplasmic vesicle	YAL007C	ERP2
cytoplasmic vesicle_GO_30_1	YAL007C	ERP2
endomembrane system	YAL007C	ERP2
endomembrane system_GO_30_7	YAL007C	ERP2
endoplasmic reticulum	YAL007C	ERP2
endoplasmic reticulum_GO_30_8	YAL007C	ERP2
ER	YAL007C	ERP2
ER_GO_30_8	YAL007C	ERP2
Golgi	YAL007C	ERP2
Golgi and ER	YAL007C	ERP2
Golgi and ER_GO_30_5	YAL007C	ERP2
Golgi vesicle transport	YAL007C	ERP2
Golgi vesicle transport_GO_30_1	YAL007C	ERP2
Golgi_GO_30_3	YAL007C	ERP2
all_queries	YAL008W	FUN14
all_queries_30_60	YAL008W	FUN14
mitochondria and respiration	YAL008W	FUN14
mitochondria and respiration_GO_30_7	YAL008W	FUN14
mitochondrial envelope	YAL008W	FUN14
mitochondrial envelope_GO_30_2	YAL008W	FUN14
mitochondrion	YAL008W	FUN14
mitochondrion organization	YAL008W	FUN14
mitochondrion organization_GO_30_3	YAL008W	FUN14
mitochondrion_GO_30_8	YAL008W	FUN14
all_queries	YAL010C	MDM10
all_queries_30_5	YAL010C	MDM10
endomembrane system	YAL010C	MDM10
endomembrane system_GO_30_3	YAL010C	MDM10
endoplasmic reticulum	YAL010C	MDM10
endoplasmic reticulum_GO_30_12	YAL010C	MDM10
ER	YAL010C	MDM10
ER_GO_30_12	YAL010C	MDM10
Golgi and ER	YAL010C	MDM10
Golgi and ER_GO_30_6	YAL010C	MDM10
ion transport	YAL010C	MDM10
lipid transport	YAL010C	MDM10
lipid transport_GO_30_1	YAL010C	MDM10
lipids	YAL010C	MDM10
lipids_GO_30_1	YAL010C	MDM10
mitochondria and respiration	YAL010C	MDM10
mitochondria and respiration_GO_30_8	YAL010C	MDM10
mitochondrial envelope	YAL010C	MDM10
mitochondrial envelope_GO_30_1	YAL010C	MDM10
mitochondrion	YAL010C	MDM10
mitochondrion organization	YAL010C	MDM10
mitochondrion organization_GO_30_1	YAL010C	MDM10
mitochondrion_GO_30_5	YAL010C	MDM10
protein targeting	YAL010C	MDM10
protein targeting_GO_30_3	YAL010C	MDM10
transmembrane transport	YAL010C	MDM10
transmembrane transport_GO_30_3	YAL010C	MDM10
all_queries	YAL011W	SWC3
all_queries_30_31	YAL011W	SWC3
chromatin	YAL011W	SWC3
chromatin organization	YAL011W	SWC3
chromatin organization_GO_30_2	YAL011W	SWC3
chromatin_GO_30_4	YAL011W	SWC3
chromosome	YAL011W	SWC3
chromosome_GO_30_2	YAL011W	SWC3
mitochondria and respiration	YAL011W	SWC3
mitochondria and respiration_GO_30_10	YAL011W	SWC3
mitochondrion	YAL011W	SWC3
mitochondrion_GO_30_4	YAL011W	SWC3
all_queries	YAL012W	CYS3
all_queries_30_68	YAL012W	CYS3
cellular amino acid metabolic process	YAL012W	CYS3
cellular amino acid metabolic process_GO_30_1	YAL012W	CYS3
metabolic	YAL012W	CYS3
metabolic_GO_30_4	YAL012W	CYS3
all_queries	YAL013W	DEP1
all_queries_30_21	YAL013W	DEP1
carbohydrate metabolic process	YAL013W	DEP1
carbohydrate metabolic process_GO_30_4	YAL013W	DEP1
chromatin	YAL013W	DEP1
chromatin organization	YAL013W	DEP1
chromatin organization_GO_30_1	YAL013W	DEP1
chromatin_GO_30_3	YAL013W	DEP1
chromosome	YAL013W	DEP1
chromosome_GO_30_4	YAL013W	DEP1
DNA replication	YAL013W	DEP1
DNA replication_GO_30_1	YAL013W	DEP1
histone modification	YAL013W	DEP1
lipid metabolic process	YAL013W	DEP1
lipid metabolic process_GO_30_4	YAL013W	DEP1
lipids	YAL013W	DEP1
lipids_GO_30_6	YAL013W	DEP1
metabolic	YAL013W	DEP1
metabolic_GO_30_11	YAL013W	DEP1
regulation of DNA metabolic process	YAL013W	DEP1
regulation of DNA metabolic process_GO_30_1	YAL013W	DEP1
response to heat	YAL013W	DEP1
response to heat_GO_30_1	YAL013W	DEP1
transcription	YAL013W	DEP1
transcription and mRNA processing	YAL013W	DEP1
transcription and mRNA processing_GO_30_2	YAL013W	DEP1
transcription from RNA polymerase II promoter	YAL013W	DEP1
transcription from RNA polymerase II promoter_GO_30_4	YAL013W	DEP1
transcription_GO_30_6	YAL013W	DEP1
all_queries	YAL014C	SYN8
all_queries_30_67	YAL014C	SYN8
cytoplasmic vesicle	YAL014C	SYN8
cytoplasmic vesicle_GO_30_1	YAL014C	SYN8
endomembrane system	YAL014C	SYN8
endomembrane system_GO_30_5	YAL014C	SYN8
all_queries	YAL015C	NTG1
all_queries_30_34	YAL015C	NTG1
cellular response to DNA damage stimulus	YAL015C	NTG1
cellular response to DNA damage stimulus_GO_30_3	YAL015C	NTG1
DNA repair	YAL015C	NTG1
DNA repair_GO_30_3	YAL015C	NTG1
DNA replication	YAL015C	NTG1
metabolic	YAL015C	NTG1
metabolic_GO_30_6	YAL015C	NTG1
mitochondria and respiration	YAL015C	NTG1
mitochondria and respiration_GO_30_6	YAL015C	NTG1
mitochondrion	YAL015C	NTG1
mitochondrion organization	YAL015C	NTG1
mitochondrion organization_GO_30_3	YAL015C	NTG1
mitochondrion_GO_30_3	YAL015C	NTG1
regulation of DNA metabolic process	YAL015C	NTG1
regulation of organelle organization	YAL015C	NTG1
regulation of organelle organization_GO_30_2	YAL015C	NTG1
response to oxidative stress	YAL015C	NTG1
