cluster	Gene_uniq	Gene.gene_name
rRNA processing	YLL045C	RPL8B
rRNA processing	YLR002C_DAMP	NOC3
rRNA processing	YLR048W	RPS0B
rRNA processing	YLR051C_DAMP	FCF2
rRNA processing	YLR059C	REX2
rRNA processing	YLR063W	BMT6
rRNA processing	YLR068W	FYV7
rRNA processing	YLR107W	REX3
rRNA processing	YLR145W_DAMP	RMP1
rRNA processing	YLR165C	PUS5
rRNA processing	YLR185W	RPL37A
rRNA processing	YLR186W_DAMP	EMG1
rRNA processing	YLR192C	HCR1
rRNA processing	YLR276C_DAMP	DBP9
rRNA processing	YLR441C	RPS1A
rRNA processing	YML026C	RPS18B
rRNA processing	YML063W	RPS1B
rRNA processing	YMR143W	RPS16A
rRNA processing	YMR285C	NGL2
rRNA processing	YNL002C_DAMP	RLP7
rRNA processing	YNL022C	RCM1
rRNA processing	YNL061W_TSQ624	NOP2
rRNA processing	YNL061W_TSQ630	NOP2
rRNA processing	YNL147W	LSM7
rRNA processing	YNL224C	SQS1
rRNA processing	YNL227C	JJJ1
rRNA processing	YNL282W_DAMP	POP3
rRNA processing	YNR024W	MPP6
rRNA processing	YOL021C_DAMP	DIS3
rRNA processing	YOL041C	NOP12
rRNA processing	YOL080C	REX4
rRNA processing	YOR001W	RRP6
rRNA processing	YOR006C	TSR3
rRNA processing	YOR056C_DAMP	NOB1
rRNA processing	YOR078W	BUD21
rRNA processing	YOR243C	PUS7
rRNA processing	YOR308C	SNU66
rRNA processing	YOR310C_DAMP	NOP58
rRNA processing	YPL081W	RPS9A
rRNA processing	YPL090C	RPS6A
rRNA processing	YPL198W	RPL7B
rRNA processing	YPL211W_TSQ114	NIP7
rRNA processing	YPL217C_TSQ678	BMS1
rRNA processing	YPL235W_DAMP	RVB2
rRNA processing	YPL266W_DAMP	DIM1
rRNA processing	YPR132W	RPS23B
rRNA processing	YPR143W_DAMP	RRP15
rRNA processing	YPR144C_DAMP	NOC4
ribosomal small subunit biogenesis	YBL072C	RPS8A
ribosomal small subunit biogenesis	YBR048W	RPS11B
ribosomal small subunit biogenesis	YBR181C	RPS6B
ribosomal small subunit biogenesis	YBR247C_TSQ542	ENP1
ribosomal small subunit biogenesis	YCR031C	RPS14A
ribosomal small subunit biogenesis	YDL083C	RPS16B
ribosomal small subunit biogenesis	YDL213C	NOP6
ribosomal small subunit biogenesis	YDR021W_DAMP	FAL1
ribosomal small subunit biogenesis	YDR159W	SAC3
ribosomal small subunit biogenesis	YDR378C	LSM6
ribosomal small subunit biogenesis	YDR447C	RPS17B
ribosomal small subunit biogenesis	YDR457W	TOM1
ribosomal small subunit biogenesis	YER074W	RPS24A
ribosomal small subunit biogenesis	YGR081C	SLX9
ribosomal small subunit biogenesis	YGR090W_DAMP	UTP22
ribosomal small subunit biogenesis	YGR118W	RPS23A
ribosomal small subunit biogenesis	YGR214W	RPS0A
ribosomal small subunit biogenesis	YHR021C	RPS27B
ribosomal small subunit biogenesis	YIL069C	RPS24B
ribosomal small subunit biogenesis	YJL136C	RPS21B
ribosomal small subunit biogenesis	YJL191W	RPS14B
ribosomal small subunit biogenesis	YJR002W_DAMP	MPP10
ribosomal small subunit biogenesis	YKL078W_DAMP	DHR2
ribosomal small subunit biogenesis	YKL156W	RPS27A
ribosomal small subunit biogenesis	YKR057W	RPS21A
ribosomal small subunit biogenesis	YKR060W	UTP30
ribosomal small subunit biogenesis	YLR048W	RPS0B
ribosomal small subunit biogenesis	YLR051C_DAMP	FCF2
ribosomal small subunit biogenesis	YLR068W	FYV7
ribosomal small subunit biogenesis	YLR186W_DAMP	EMG1
ribosomal small subunit biogenesis	YLR192C	HCR1
ribosomal small subunit biogenesis	YLR336C_DAMP	SGD1
ribosomal small subunit biogenesis	YLR441C	RPS1A
ribosomal small subunit biogenesis	YML026C	RPS18B
ribosomal small subunit biogenesis	YML063W	RPS1B
ribosomal small subunit biogenesis	YMR143W	RPS16A
ribosomal small subunit biogenesis	YMR269W	TMA23
ribosomal small subunit biogenesis	YNL147W	LSM7
ribosomal small subunit biogenesis	YNL224C	SQS1
ribosomal small subunit biogenesis	YNL302C	RPS19B
ribosomal small subunit biogenesis	YOR006C	TSR3
ribosomal small subunit biogenesis	YOR056C_DAMP	NOB1
ribosomal small subunit biogenesis	YOR078W	BUD21
ribosomal small subunit biogenesis	YOR310C_DAMP	NOP58
ribosomal small subunit biogenesis	YPL081W	RPS9A
ribosomal small subunit biogenesis	YPL090C	RPS6A
ribosomal small subunit biogenesis	YPL204W_DAMP	HRR25
ribosomal small subunit biogenesis	YPL217C_TSQ678	BMS1
ribosomal small subunit biogenesis	YPL226W	NEW1
ribosomal small subunit biogenesis	YPL239W	YAR1
ribosomal small subunit biogenesis	YPL266W_DAMP	DIM1
ribosomal small subunit biogenesis	YPR132W	RPS23B
ribosomal small subunit biogenesis	YPR144C_DAMP	NOC4
transcription from RNA polymerase II promoter	YAL013W	DEP1
transcription from RNA polymerase II promoter	YAL019W	FUN30
transcription from RNA polymerase II promoter	YAL021C	CCR4
transcription from RNA polymerase II promoter	YAL021C_DAMP	CCR4
transcription from RNA polymerase II promoter	YAL043C_DAMP	PTA1
transcription from RNA polymerase II promoter	YAL051W	OAF1
transcription from RNA polymerase II promoter	YAL056W	GPB2
transcription from RNA polymerase II promoter	YAL068C	PAU8
transcription from RNA polymerase II promoter	YBL005W	PDR3
transcription from RNA polymerase II promoter	YBL008W	HIR1
transcription from RNA polymerase II promoter	YBL021C	HAP3
transcription from RNA polymerase II promoter	YBL054W	TOD6
transcription from RNA polymerase II promoter	YBL103C	RTG3
transcription from RNA polymerase II promoter	YBR009C	HHF1
transcription from RNA polymerase II promoter	YBR034C	HMT1
transcription from RNA polymerase II promoter	YBR050C	REG2
transcription from RNA polymerase II promoter	YBR066C	NRG2
transcription from RNA polymerase II promoter	YBR083W	TEC1
transcription from RNA polymerase II promoter	YBR095C	RXT2
transcription from RNA polymerase II promoter	YBR111W-A	SUS1
transcription from RNA polymerase II promoter	YBR112C	CYC8
transcription from RNA polymerase II promoter	YBR112C_DAMP	CYC8
transcription from RNA polymerase II promoter	YBR135W_DAmP	CKS1
transcription from RNA polymerase II promoter	YBR160W	CDC28
transcription from RNA polymerase II promoter	YBR160W_TSQ175	CDC28
transcription from RNA polymerase II promoter	YBR182C	SMP1
transcription from RNA polymerase II promoter	YBR193C_TSQ741	MED8
transcription from RNA polymerase II promoter	YBR198C_TSQ509	TAF5
transcription from RNA polymerase II promoter	YBR198C_TSQ512	TAF5
transcription from RNA polymerase II promoter	YBR215W	HPC2
transcription from RNA polymerase II promoter	YBR239C	ERT1
transcription from RNA polymerase II promoter	YBR240C	THI2
transcription from RNA polymerase II promoter	YBR245C	ISW1
transcription from RNA polymerase II promoter	YBR289W	SNF5
transcription from RNA polymerase II promoter	YCL010C	SGF29
transcription from RNA polymerase II promoter	YCL055W	KAR4
transcription from RNA polymerase II promoter	YCR065W	HCM1
transcription from RNA polymerase II promoter	YDL005C	MED2
transcription from RNA polymerase II promoter	YDL020C	RPN4
transcription from RNA polymerase II promoter	YDL074C	BRE1
transcription from RNA polymerase II promoter	YDL080C	THI3
transcription from RNA polymerase II promoter	YDL106C	PHO2
transcription from RNA polymerase II promoter	YDL140C_DAmP	RPO21
transcription from RNA polymerase II promoter	YDL140C_TSQ804	RPO21
transcription from RNA polymerase II promoter	YDL170W	UGA3
transcription from RNA polymerase II promoter	YDL214C	PRR2
transcription from RNA polymerase II promoter	YDR005C	MAF1
transcription from RNA polymerase II promoter	YDR009W	GAL3
transcription from RNA polymerase II promoter	YDR043C	NRG1
transcription from RNA polymerase II promoter	YDR073W	SNF11
transcription from RNA polymerase II promoter	YDR096W	GIS1
transcription from RNA polymerase II promoter	YDR123C	INO2
transcription from RNA polymerase II promoter	YDR145W_TSQ515	TAF12
transcription from RNA polymerase II promoter	YDR169C	STB3
transcription from RNA polymerase II promoter	YDR174W	HMO1
transcription from RNA polymerase II promoter	YDR183W	PLP1
transcription from RNA polymerase II promoter	YDR190C_DAMP	RVB1
transcription from RNA polymerase II promoter	YDR207C	UME6
transcription from RNA polymerase II promoter	YDR213W	UPC2
transcription from RNA polymerase II promoter	YDR216W	ADR1
transcription from RNA polymerase II promoter	YDR217C	RAD9
transcription from RNA polymerase II promoter	YDR223W	CRF1
transcription from RNA polymerase II promoter	YDR225W	HTA1
transcription from RNA polymerase II promoter	YDR228C_TSQ685	PCF11
transcription from RNA polymerase II promoter	YDR228C_TSQ686	PCF11
transcription from RNA polymerase II promoter	YDR253C	MET32
transcription from RNA polymerase II promoter	YDR259C	YAP6
transcription from RNA polymerase II promoter	YDR310C	SUM1
transcription from RNA polymerase II promoter	YDR392W	SPT3
transcription from RNA polymerase II promoter	YDR394W_TSQ785	RPT3
transcription from RNA polymerase II promoter	YDR421W	ARO80
transcription from RNA polymerase II promoter	YDR423C	CAD1
transcription from RNA polymerase II promoter	YDR443C	SSN2
transcription from RNA polymerase II promoter	YDR448W	ADA2
transcription from RNA polymerase II promoter	YDR451C	YHP1
transcription from RNA polymerase II promoter	YDR463W	STP1
transcription from RNA polymerase II promoter	YDR480W	DIG2
transcription from RNA polymerase II promoter	YDR512C	EMI1
transcription from RNA polymerase II promoter	YDR516C	EMI2
transcription from RNA polymerase II promoter	YEL037C	RAD23
transcription from RNA polymerase II promoter	YER022W_TSQ519	SRB4
transcription from RNA polymerase II promoter	YER045C	ACA1
transcription from RNA polymerase II promoter	YER051W	JHD1
transcription from RNA polymerase II promoter	YER068W	MOT2
transcription from RNA polymerase II promoter	YER088C	DOT6
transcription from RNA polymerase II promoter	YER111C	SWI4
transcription from RNA polymerase II promoter	YER125W_DAmP	RSP5
transcription from RNA polymerase II promoter	YER125W_TSQ465	RSP5
transcription from RNA polymerase II promoter	YER133W_DAMP	GLC7
transcription from RNA polymerase II promoter	YER139C	RTR1
transcription from RNA polymerase II promoter	YER161C	SPT2
transcription from RNA polymerase II promoter	YER162C	RAD4
transcription from RNA polymerase II promoter	YER164W	CHD1
transcription from RNA polymerase II promoter	YER177W	BMH1
transcription from RNA polymerase II promoter	YER184C	TOG1
transcription from RNA polymerase II promoter	YFL021W	GAT1
transcription from RNA polymerase II promoter	YFL028C	CAF16
transcription from RNA polymerase II promoter	YFL031W	HAC1
transcription from RNA polymerase II promoter	YFL049W	SWP82
transcription from RNA polymerase II promoter	YFL052W	ZNF1
transcription from RNA polymerase II promoter	YFR034C	PHO4
transcription from RNA polymerase II promoter	YGL013C	PDR1
transcription from RNA polymerase II promoter	YGL035C	MIG1
transcription from RNA polymerase II promoter	YGL043W	DST1
transcription from RNA polymerase II promoter	YGL058W	RAD6
transcription from RNA polymerase II promoter	YGL066W	SGF73
transcription from RNA polymerase II promoter	YGL071W	AFT1
transcription from RNA polymerase II promoter	YGL112C_TSQ608	TAF6
transcription from RNA polymerase II promoter	YGL115W	SNF4
transcription from RNA polymerase II promoter	YGL127C	SOH1
transcription from RNA polymerase II promoter	YGL130W_TSQ355	CEG1
transcription from RNA polymerase II promoter	YGL131C	SNT2
transcription from RNA polymerase II promoter	YGL133W	ITC1
transcription from RNA polymerase II promoter	YGL150C_DAMP	INO80
transcription from RNA polymerase II promoter	YGL151W	NUT1
transcription from RNA polymerase II promoter	YGL162W	SUT1
transcription from RNA polymerase II promoter	YGL166W	CUP2
transcription from RNA polymerase II promoter	YGL173C	XRN1
transcription from RNA polymerase II promoter	YGL181W	GTS1
transcription from RNA polymerase II promoter	YGL209W	MIG2
transcription from RNA polymerase II promoter	YGL237C	HAP2
transcription from RNA polymerase II promoter	YGL244W	RTF1
transcription from RNA polymerase II promoter	YGL252C	RTG2
transcription from RNA polymerase II promoter	YGL254W	FZF1
transcription from RNA polymerase II promoter	YGR044C	RME1
transcription from RNA polymerase II promoter	YGR122W	YGR122W
transcription from RNA polymerase II promoter	YGR134W	CAF130
transcription from RNA polymerase II promoter	YGR200C	ELP2
transcription from RNA polymerase II promoter	YGR252W	GCN5
transcription from RNA polymerase II promoter	YGR262C	BUD32
transcription from RNA polymerase II promoter	YGR270W	YTA7
transcription from RNA polymerase II promoter	YGR274C_TSQ524	TAF1
transcription from RNA polymerase II promoter	YGR275W	RTT102
transcription from RNA polymerase II promoter	YHL009C	YAP3
transcription from RNA polymerase II promoter	YHL020C	OPI1
transcription from RNA polymerase II promoter	YHL025W	SNF6
transcription from RNA polymerase II promoter	YHL027W	RIM101
transcription from RNA polymerase II promoter	YHR006W	STP2
transcription from RNA polymerase II promoter	YHR041C	SRB2
transcription from RNA polymerase II promoter	YHR124W	NDT80
transcription from RNA polymerase II promoter	YHR167W	THP2
transcription from RNA polymerase II promoter	YHR178W	STB5
transcription from RNA polymerase II promoter	YHR206W	SKN7
transcription from RNA polymerase II promoter	YIL017C	VID28
transcription from RNA polymerase II promoter	YIL036W	CST6
transcription from RNA polymerase II promoter	YIL038C	NOT3
transcription from RNA polymerase II promoter	YIL056W	VHR1
transcription from RNA polymerase II promoter	YIL084C	SDS3
transcription from RNA polymerase II promoter	YIL101C	XBP1
transcription from RNA polymerase II promoter	YIL119C	RPI1
transcription from RNA polymerase II promoter	YIL122W	POG1
transcription from RNA polymerase II promoter	YIL131C	FKH1
transcription from RNA polymerase II promoter	YIL153W	RRD1
transcription from RNA polymerase II promoter	YIL154C	IMP2'
transcription from RNA polymerase II promoter	YIR017C	MET28
transcription from RNA polymerase II promoter	YIR018W	YAP5
transcription from RNA polymerase II promoter	YIR023W	DAL81
transcription from RNA polymerase II promoter	YIR033W	MGA2
transcription from RNA polymerase II promoter	YJL089W	SIP4
transcription from RNA polymerase II promoter	YJL103C	GSM1
transcription from RNA polymerase II promoter	YJL110C	GZF3
transcription from RNA polymerase II promoter	YJL115W	ASF1
transcription from RNA polymerase II promoter	YJL176C	SWI3
transcription from RNA polymerase II promoter	YJR060W	CBF1
transcription from RNA polymerase II promoter	YJR094C	IME1
transcription from RNA polymerase II promoter	YJR102C	VPS25
transcription from RNA polymerase II promoter	YJR104C	SOD1
transcription from RNA polymerase II promoter	YJR119C	JHD2
transcription from RNA polymerase II promoter	YJR140C	HIR3
transcription from RNA polymerase II promoter	YKL005C	BYE1
transcription from RNA polymerase II promoter	YKL015W	PUT3
transcription from RNA polymerase II promoter	YKL020C	SPT23
transcription from RNA polymerase II promoter	YKL032C	IXR1
transcription from RNA polymerase II promoter	YKL038W	RGT1
transcription from RNA polymerase II promoter	YKL043W	PHD1
transcription from RNA polymerase II promoter	YKL057C	NUP120
transcription from RNA polymerase II promoter	YKL062W	MSN4
transcription from RNA polymerase II promoter	YKL109W	HAP4
transcription from RNA polymerase II promoter	YKL110C	KTI12
transcription from RNA polymerase II promoter	YKL116C	PRR1
transcription from RNA polymerase II promoter	YKL139W	CTK1
transcription from RNA polymerase II promoter	YKL160W	ELF1
transcription from RNA polymerase II promoter	YKL185W	ASH1
transcription from RNA polymerase II promoter	YKR008W_TSQ498	RSC4
transcription from RNA polymerase II promoter	YKR034W	DAL80
transcription from RNA polymerase II promoter	YKR036C	CAF4
transcription from RNA polymerase II promoter	YKR038C_DAMP	KAE1
transcription from RNA polymerase II promoter	YKR048C	NAP1
transcription from RNA polymerase II promoter	YKR062W_TSQ692	TFA2
transcription from RNA polymerase II promoter	YKR064W	OAF3
transcription from RNA polymerase II promoter	YKR082W	NUP133
transcription from RNA polymerase II promoter	YKR095W	MLP1
transcription from RNA polymerase II promoter	YKR099W	BAS1
transcription from RNA polymerase II promoter	YLL002W	RTT109
transcription from RNA polymerase II promoter	YLL029W	FRA1
transcription from RNA polymerase II promoter	YLR005W_TSQ752	SSL1
transcription from RNA polymerase II promoter	YLR014C	PPR1
transcription from RNA polymerase II promoter	YLR055C	SPT8
transcription from RNA polymerase II promoter	YLR113W	HOG1
transcription from RNA polymerase II promoter	YLR131C	ACE2
transcription from RNA polymerase II promoter	YLR176C	RFX1
transcription from RNA polymerase II promoter	YLR182W	SWI6
transcription from RNA polymerase II promoter	YLR200W	YKE2
transcription from RNA polymerase II promoter	YLR228C	ECM22
transcription from RNA polymerase II promoter	YLR266C	PDR8
transcription from RNA polymerase II promoter	YLR321C_TSQ955	SFH1
transcription from RNA polymerase II promoter	YLR357W	RSC2
transcription from RNA polymerase II promoter	YLR357W_DAMP	RSC2
transcription from RNA polymerase II promoter	YLR384C	IKI3
transcription from RNA polymerase II promoter	YLR417W	VPS36
transcription from RNA polymerase II promoter	YLR418C	CDC73
transcription from RNA polymerase II promoter	YLR451W	LEU3
transcription from RNA polymerase II promoter	YLR455W	PDP3
transcription from RNA polymerase II promoter	YML007W	YAP1
transcription from RNA polymerase II promoter	YML051W	GAL80
transcription from RNA polymerase II promoter	YML062C	MFT1
transcription from RNA polymerase II promoter	YML069W_TSQ846	POB3
transcription from RNA polymerase II promoter	YML076C	WAR1
transcription from RNA polymerase II promoter	YML094W	GIM5
transcription from RNA polymerase II promoter	YML113W	DAT1
transcription from RNA polymerase II promoter	YML114C_TSQ695	TAF8
transcription from RNA polymerase II promoter	YMR030W	RSF1
transcription from RNA polymerase II promoter	YMR033W_TSQ495	ARP9
transcription from RNA polymerase II promoter	YMR037C	MSN2
transcription from RNA polymerase II promoter	YMR039C	SUB1
transcription from RNA polymerase II promoter	YMR042W	ARG80
transcription from RNA polymerase II promoter	YMR070W	MOT3
transcription from RNA polymerase II promoter	YMR075W	RCO1
transcription from RNA polymerase II promoter	YMR136W	GAT2
transcription from RNA polymerase II promoter	YMR164C	MSS11
transcription from RNA polymerase II promoter	YMR172W	HOT1
transcription from RNA polymerase II promoter	YMR179W	SPT21
transcription from RNA polymerase II promoter	YMR182C	RGM1
transcription from RNA polymerase II promoter	YMR227C_TSQ638	TAF7
transcription from RNA polymerase II promoter	YMR236W_TSQ730	TAF9
transcription from RNA polymerase II promoter	YMR263W	SAP30
transcription from RNA polymerase II promoter	YMR280C	CAT8
transcription from RNA polymerase II promoter	YMR312W	ELP6
transcription from RNA polymerase II promoter	YNL021W	HDA1
transcription from RNA polymerase II promoter	YNL027W	CRZ1
transcription from RNA polymerase II promoter	YNL068C	FKH2
transcription from RNA polymerase II promoter	YNL076W	MKS1
transcription from RNA polymerase II promoter	YNL097C	PHO23
transcription from RNA polymerase II promoter	YNL118C_TSQ743	DCP2
transcription from RNA polymerase II promoter	YNL136W	EAF7
transcription from RNA polymerase II promoter	YNL153C	GIM3
transcription from RNA polymerase II promoter	YNL199C	GCR2
transcription from RNA polymerase II promoter	YNL206C	RTT106
transcription from RNA polymerase II promoter	YNL216W_DAMP	RAP1
transcription from RNA polymerase II promoter	YNL222W_TSQ905	SSU72
transcription from RNA polymerase II promoter	YNL236W	SIN4
transcription from RNA polymerase II promoter	YNL251C_DAMP	NRD1
transcription from RNA polymerase II promoter	YNL257C	SIP3
transcription from RNA polymerase II promoter	YNL288W	CAF40
transcription from RNA polymerase II promoter	YNL298W	CLA4
transcription from RNA polymerase II promoter	YNL309W	STB1
transcription from RNA polymerase II promoter	YNL314W	DAL82
transcription from RNA polymerase II promoter	YNL330C	RPD3
transcription from RNA polymerase II promoter	YNR010W	CSE2
transcription from RNA polymerase II promoter	YNR052C_DAMP	POP2
transcription from RNA polymerase II promoter	YOL001W	PHO80
transcription from RNA polymerase II promoter	YOL002C	IZH2
transcription from RNA polymerase II promoter	YOL004W	SIN3
transcription from RNA polymerase II promoter	YOL006C	TOP1
transcription from RNA polymerase II promoter	YOL012C	HTZ1
transcription from RNA polymerase II promoter	YOL028C	YAP7
transcription from RNA polymerase II promoter	YOL063C	CRT10
transcription from RNA polymerase II promoter	YOL067C	RTG1
transcription from RNA polymerase II promoter	YOL071W	SDH5
transcription from RNA polymerase II promoter	YOL089C	HAL9
transcription from RNA polymerase II promoter	YOL108C	INO4
transcription from RNA polymerase II promoter	YOL113W	SKM1
transcription from RNA polymerase II promoter	YOL116W	MSN1
transcription from RNA polymerase II promoter	YOL135C_TSQ739	MED7
transcription from RNA polymerase II promoter	YOR028C	CIN5
transcription from RNA polymerase II promoter	YOR038C	HIR2
transcription from RNA polymerase II promoter	YOR047C	STD1
transcription from RNA polymerase II promoter	YOR064C	YNG1
transcription from RNA polymerase II promoter	YOR113W	AZF1
transcription from RNA polymerase II promoter	YOR123C	LEO1
transcription from RNA polymerase II promoter	YOR140W	SFL1
transcription from RNA polymerase II promoter	YOR162C	YRR1
transcription from RNA polymerase II promoter	YOR172W	YRM1
transcription from RNA polymerase II promoter	YOR179C	SYC1
transcription from RNA polymerase II promoter	YOR229W	WTM2
transcription from RNA polymerase II promoter	YOR230W	WTM1
transcription from RNA polymerase II promoter	YOR244W_TSQ560	ESA1
transcription from RNA polymerase II promoter	YOR259C_TSQ260	RPT4
transcription from RNA polymerase II promoter	YOR274W	MOD5
transcription from RNA polymerase II promoter	YOR279C	RFM1
transcription from RNA polymerase II promoter	YOR290C_DAMP	SNF2
transcription from RNA polymerase II promoter	YOR298C-A	MBF1
transcription from RNA polymerase II promoter	YOR304W	ISW2
transcription from RNA polymerase II promoter	YOR338W	YOR338W
transcription from RNA polymerase II promoter	YOR358W	HAP5
transcription from RNA polymerase II promoter	YOR363C	PIP2
transcription from RNA polymerase II promoter	YPL002C	SNF8
transcription from RNA polymerase II promoter	YPL026C	SKS1
transcription from RNA polymerase II promoter	YPL038W	MET31
transcription from RNA polymerase II promoter	YPL042C	SSN3
transcription from RNA polymerase II promoter	YPL047W	SGF11
transcription from RNA polymerase II promoter	YPL048W	CAM1
transcription from RNA polymerase II promoter	YPL086C	ELP3
transcription from RNA polymerase II promoter	YPL089C	RLM1
transcription from RNA polymerase II promoter	YPL101W	ELP4
transcription from RNA polymerase II promoter	YPL116W	HOS3
transcription from RNA polymerase II promoter	YPL133C	RDS2
transcription from RNA polymerase II promoter	YPL139C	UME1
transcription from RNA polymerase II promoter	YPL177C	CUP9
transcription from RNA polymerase II promoter	YPL202C	AFT2
transcription from RNA polymerase II promoter	YPL228W_TSQ420	CET1
transcription from RNA polymerase II promoter	YPL230W	USV1
transcription from RNA polymerase II promoter	YPL235W_DAMP	RVB2
transcription from RNA polymerase II promoter	YPL248C	GAL4
transcription from RNA polymerase II promoter	YPR005C	HAL1
transcription from RNA polymerase II promoter	YPR008W	HAA1
transcription from RNA polymerase II promoter	YPR009W	SUT2
transcription from RNA polymerase II promoter	YPR023C	EAF3
transcription from RNA polymerase II promoter	YPR030W	CSR2
transcription from RNA polymerase II promoter	YPR052C	NHP6A
transcription from RNA polymerase II promoter	YPR065W	ROX1
transcription from RNA polymerase II promoter	YPR068C	HOS1
transcription from RNA polymerase II promoter	YPR070W	MED1
transcription from RNA polymerase II promoter	YPR179C	HDA3
transcription from RNA polymerase II promoter	YPR199C	ARR1
RNA splicing	YBR022W	POA1
RNA splicing	YBR055C_TSQ455	PRP6
RNA splicing	YBR065C	ECM2
RNA splicing	YBR119W	MUD1
RNA splicing	YBR152W_DAMP	SPP381
RNA splicing	YBR188C	NTC20
RNA splicing	YCR063W	BUD31
RNA splicing	YDL006W	PTC1
RNA splicing	YDL043C_DAmP	PRP11
RNA splicing	YDL098C_DAMP	SNU23
RNA splicing	YDR088C_TSQ656	SLU7
RNA splicing	YDR163W	CWC15
RNA splicing	YDR243C_TSQ574	PRP28
RNA splicing	YDR378C	LSM6
RNA splicing	YDR482C	CWC21
RNA splicing	YER013W_TSQ237	PRP22
RNA splicing	YER112W_DAMP	LSM4
RNA splicing	YER172C_DAMP	BRR2
RNA splicing	YGL128C_DAMP	CWC23
RNA splicing	YGL174W	BUD13
RNA splicing	YGR006W_TSQ434	PRP18
RNA splicing	YGR091W_TSQ472	PRP31
RNA splicing	YGR093W	DRN1
RNA splicing	YGR129W	SYF2
RNA splicing	YHR030C	SLT2
RNA splicing	YHR086W	NAM8
RNA splicing	YHR165C	PRP8
RNA splicing	YIR005W	IST3
RNA splicing	YJL133W	MRS3
RNA splicing	YJL203W_TSQ401	PRP21
RNA splicing	YJR050W	ISY1
RNA splicing	YJR084W	YJR084W
RNA splicing	YKL074C	MUD2
RNA splicing	YKL149C	DBR1
RNA splicing	YKL173W_TSQ621	SNU114
RNA splicing	YKR086W_TSQ644	PRP16
RNA splicing	YLR016C	PML1
RNA splicing	YLR298C_TSQ840	YHC1
RNA splicing	YLR298C_TSQ844	YHC1
RNA splicing	YLR332W	MID2
RNA splicing	YLR424W_DAMP	SPP382
RNA splicing	YLR438C-A_DAmP	LSM3
RNA splicing	YLR438C-A_DAMP	LSM3
RNA splicing	YML029W	USA1
RNA splicing	YMR087W	YMR087W
RNA splicing	YMR125W_DAMP	STO1
RNA splicing	YMR216C	SKY1
RNA splicing	YMR223W	UBP8
RNA splicing	YNL147W	LSM7
RNA splicing	YNL187W	SWT21
RNA splicing	YNL224C	SQS1
RNA splicing	YNL245C_DAMP	CWC25
RNA splicing	YNR032C-A	HUB1
RNA splicing	YOR204W_DAMP	DED1
RNA splicing	YOR204W_TSQ561	DED1
RNA splicing	YOR308C	SNU66
RNA splicing	YOR350C	MNE1
RNA splicing	YPL029W	SUV3
RNA splicing	YPL178W	CBC2
RNA splicing	YPL184C	MRN1
RNA splicing	YPL213W	LEA1
RNA splicing	YPR045C	THP3
RNA splicing	YPR057W	BRR1
RNA splicing	YPR101W	SNT309
RNA splicing	YPR134W	MSS18
RNA splicing	YPR178W_TSQ500	PRP4
RNA splicing	YPR178W_TSQ819	PRP4
mRNA processing	YAL043C_DAMP	PTA1
mRNA processing	YBR055C_TSQ455	PRP6
mRNA processing	YBR065C	ECM2
mRNA processing	YBR119W	MUD1
mRNA processing	YBR152W_DAMP	SPP381
mRNA processing	YBR160W	CDC28
mRNA processing	YBR160W_TSQ175	CDC28
